pc_t_s,esp_ts_us,dt_s,encoder_count,theta_counts,theta_rad,theta_dot_rad_s,position_steps,cart_vel_steps_s,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,mode,stop_reason
0.000087,9249001,0.000000,4038,37,0.02905973,0.00000000,0,0.000,-4649.557,0.000,190000,0,0,0,0,1,balance,
0.000667,9258998,0.009997,4038,37,0.02905973,0.00000000,0,0.000,-4649.557,0.000,190000,0,0,1,0,1,balance,
0.001349,9268998,0.010000,4038,37,0.02905973,0.00000000,0,0.000,-4649.557,0.000,190000,0,0,1,0,1,balance,
0.030538,9278998,0.010000,4038,37,0.02905973,0.00000000,0,0.000,-4649.557,0.000,190000,0,0,1,0,1,balance,
0.030657,9290998,0.012000,4037,36,0.02827433,-0.00981748,-1,-83.333,-4406.084,-758.670,190000,0,0,1,0,1,balance,
0.031382,9300998,0.010000,4037,36,0.02827433,-0.00834486,-18,-1700.000,-4423.755,-2658.670,190000,0,0,1,0,1,balance,
0.062356,9310998,0.010000,4036,35,0.02748894,-0.01887410,-54,-3600.000,-4171.741,-4558.670,190000,0,0,1,0,1,balance,
0.062470,9320998,0.010000,4036,35,0.02748894,-0.01604298,-100,-4600.000,-4205.714,-4423.755,190000,0,0,1,0,1,balance,
0.063178,9330998,0.010000,4036,35,0.02748894,-0.01363654,-144,-4400.000,-4234.591,-4423.755,190000,0,0,1,0,1,balance,
0.092768,9340998,0.010000,4036,35,0.02748894,-0.01159106,-188,-4400.000,-4259.137,-4423.755,190000,0,0,1,0,1,balance,
0.092877,9352998,0.012000,4036,35,0.02748894,-0.00985240,-240,-4333.333,-4280.001,-4234.591,190000,0,0,1,0,1,balance,
0.093595,9362998,0.010000,4033,32,0.02513274,-0.04371746,-283,-4300.000,-3496.629,-4234.591,190000,0,0,1,0,1,balance,
0.123447,9372998,0.010000,4030,29,0.02277655,-0.07250275,-325,-4200.000,-2774.214,-4234.591,190000,0,0,1,0,1,balance,
0.123605,9384001,0.011003,4027,26,0.02042035,-0.09374851,-369,-3998.909,-2142.274,-3496.629,190000,0,0,1,0,1,balance,
0.124298,9394001,0.010000,4024,23,0.01806416,-0.11502915,-404,-3500.000,-1509.915,-3496.629,190000,0,0,1,0,1,balance,
0.154026,9404001,0.010000,4021,20,0.01570796,-0.13311769,-439,-3500.000,-915.862,-3496.629,190000,0,0,1,0,1,balance,
0.154152,9414001,0.010000,4020,19,0.01492257,-0.12493101,-472,-3300.000,-888.438,-2736.629,190000,0,0,1,0,1,balance,
0.154859,9424001,0.010000,4018,17,0.01335177,-0.12975330,-490,-1800.000,-579.243,-1509.916,190000,0,0,1,0,1,balance,
0.184772,9434001,0.010000,4017,16,0.01256637,-0.12207128,-505,-1500.000,-545.764,-1509.916,190000,0,0,1,0,1,balance,
0.184887,9444998,0.010997,4016,15,0.01178097,-0.11447349,-518,-1182.141,-511.274,-579.243,190000,0,0,1,0,1,balance,
0.185595,9454998,0.010000,4015,14,0.01099557,-0.10908344,-524,-600.000,-450.291,-579.243,190000,0,0,1,0,1,balance,
0.215486,9464998,0.010000,4014,13,0.01021018,-0.10450189,-530,-600.000,-379.605,-579.243,190000,0,0,1,0,1,balance,
0.215605,9476001,0.011003,4014,13,0.01021018,-0.08882661,-536,-545.306,-567.709,-450.291,190000,0,0,1,0,1,balance,
0.216292,9486001,0.010000,4013,12,0.00942478,-0.08728359,-540,-400.000,-460.561,-450.291,190000,0,0,1,0,1,balance,
0.246037,9496001,0.010000,4013,12,0.00942478,-0.07419105,-545,-500.000,-617.672,-450.291,190000,0,0,1,0,1,balance,
0.246163,9506001,0.010000,4012,11,0.00863938,-0.07484337,-549,-400.000,-484.180,-460.561,190000,0,0,1,0,1,balance,
0.246867,9516001,0.010000,4012,11,0.00863938,-0.06361686,-554,-500.000,-618.898,-460.561,190000,0,0,1,0,1,balance,
0.275479,9526001,0.010000,4012,11,0.00863938,-0.05407433,-559,-500.000,-733.409,-460.561,190000,0,0,1,0,1,balance,
0.275577,9536998,0.010997,4011,10,0.00785398,-0.05667608,-564,-454.669,-576.524,-618.898,190000,0,0,1,0,1,balance,
0.276281,9546998,0.010000,4011,10,0.00785398,-0.04817467,-571,-700.000,-678.541,-618.898,190000,0,0,1,0,1,balance,
0.306607,9561236,0.014238,4010,9,0.00706858,-0.04922278,-579,-561.877,-540.300,-618.898,190000,0,0,1,0,1,balance,
0.306728,9576001,0.014765,4010,9,0.00706858,-0.04183937,-589,-677.277,-628.901,-678.541,190000,0,0,1,0,1,balance,
0.339132,9586001,0.010000,4009,8,0.00628319,-0.04734443,-596,-700.000,-437.176,-678.541,190000,0,0,1,0,1,balance,
0.339253,9596998,0.010997,4008,7,0.00549779,-0.05095567,-603,-636.537,-268.178,-628.901,190000,0,0,1,0,1,balance,
0.339935,9606998,0.010000,4008,7,0.00549779,-0.04331232,-609,-600.000,-359.898,-628.901,190000,0,0,1,0,1,balance,
0.373719,9616998,0.010000,4007,6,0.00471239,-0.04859644,-616,-700.000,-170.825,-628.901,190000,0,0,1,0,1,balance,
0.373837,9630001,0.013003,4006,5,0.00392699,-0.05036717,-623,-538.337,-23.912,-359.898,190000,0,0,1,0,1,balance,
0.374556,9640001,0.010000,4005,4,0.00314159,-0.05459307,-626,-300.000,152.462,-359.898,190000,0,0,1,0,1,balance,
0.405702,9650001,0.010000,4004,3,0.00235619,-0.05818508,-630,-400.000,321.230,-359.898,190000,0,0,1,0,1,balance,
0.405820,9660246,0.010245,4004,3,0.00235619,-0.04945732,-634,-390.434,216.497,-170.825,190000,0,0,1,0,1,balance,
0.406522,9674998,0.014752,4003,2,0.00157080,-0.05002474,-632,135.575,348.969,152.462,190000,0,0,1,0,1,balance,
0.439562,9684998,0.010000,4003,2,0.00157080,-0.04252103,-631,100.000,258.925,152.462,190000,0,0,1,0,1,balance,
0.439686,9696998,0.012000,4002,1,0.00078540,-0.04596035,-628,250.000,425.860,348.969,190000,0,0,1,0,1,balance,
0.440388,9706998,0.010000,4002,1,0.00078540,-0.03906630,-624,400.000,343.132,348.969,190000,0,0,1,0,1,balance,
0.474413,9716998,0.010000,4001,0,0.00000000,-0.04498733,-621,300.000,539.848,348.969,190000,0,0,1,0,1,balance,
0.474564,9730001,0.013003,4000,-1,-0.00078540,-0.04729942,-616,384.527,693.257,343.132,190000,0,0,1,0,1,balance,
0.475250,9740001,0.010000,3999,-2,-0.00157080,-0.05198548,-613,300.000,875.153,343.132,190000,0,0,1,0,1,balance,
0.506688,9750001,0.010000,3999,-2,-0.00157080,-0.04418766,-610,300.000,781.579,343.132,190000,0,0,1,0,1,balance,
0.506925,9760246,0.010245,3999,-2,-0.00157080,-0.03755951,-606,390.434,702.042,539.848,190000,0,0,1,0,1,balance,
0.507527,9774998,0.014752,3998,-3,-0.00235619,-0.03991160,-594,813.449,855.930,875.153,190000,0,0,1,0,1,balance,
0.539029,9784998,0.010000,3999,-2,-0.00157080,-0.02214389,-585,900.000,517.054,875.153,190000,0,0,1,0,1,balance,
0.539154,9798001,0.013003,3998,-3,-0.00235619,-0.02788250,-574,845.959,711.581,855.930,190000,0,0,1,0,1,balance,
0.539847,9808001,0.010000,3998,-3,-0.00235619,-0.02370013,-565,900.000,661.393,855.930,190000,0,0,1,0,1,balance,
0.569813,9818001,0.010000,3998,-3,-0.00235619,-0.02014511,-557,800.000,618.732,855.930,190000,0,0,1,0,1,balance,
0.569927,9830001,0.012000,3997,-4,-0.00314159,-0.02694082,-547,833.333,825.945,661.393,190000,0,0,1,0,1,balance,
0.570648,9840001,0.010000,3996,-5,-0.00392699,-0.03468067,-540,700.000,1044.487,661.393,190000,0,0,1,0,1,balance,
0.600773,9850001,0.010000,3995,-6,-0.00471239,-0.04125954,-534,600.000,1249.097,661.393,190000,0,0,1,0,1,balance,
0.600895,9860998,0.010997,3994,-7,-0.00549779,-0.04578351,-526,727.471,1429.048,1044.487,190000,0,0,1,0,1,balance,
0.601577,9870998,0.010000,3992,-9,-0.00706858,-0.06247792,-515,1100.000,1880.708,1044.487,190000,0,0,1,0,1,balance,
0.631417,9880998,0.010000,3991,-10,-0.00785398,-0.06488721,-505,1000.000,2035.284,1044.487,190000,0,0,1,0,1,balance,
0.631545,9892001,0.011003,3989,-12,-0.00942478,-0.07656824,-491,1272.380,2426.783,1804.487,190000,0,0,1,0,1,balance,
0.632224,9902001,0.010000,3988,-13,-0.01021018,-0.07686397,-472,1900.000,2555.996,1880.708,190000,0,0,1,0,1,balance,
0.662082,9912001,0.010000,3987,-14,-0.01099557,-0.07711535,-453,1900.000,2684.676,1880.708,190000,0,0,1,0,1,balance,
0.662196,9922001,0.010000,3985,-16,-0.01256637,-0.08910999,-433,2000.000,3079.939,2555.996,190000,0,0,1,0,1,balance,
0.662886,9932001,0.010000,3985,-16,-0.01256637,-0.07574349,-407,2600.000,2919.541,2555.996,190000,0,0,1,0,1,balance,
0.692653,9942001,0.010000,3983,-18,-0.01413717,-0.08794391,-381,2600.000,3317.274,2555.996,190000,0,0,1,0,1,balance,
0.692767,9952998,0.010997,3982,-19,-0.01492257,-0.08546522,-352,2637.083,3413.193,2919.541,190000,0,0,1,0,1,balance,
0.693473,9962998,0.010000,3981,-20,-0.01570796,-0.08442641,-323,2900.000,3526.391,2919.541,190000,0,0,1,0,1,balance,
0.723280,9972998,0.010000,3980,-21,-0.01649336,-0.08354342,-294,2900.000,3641.459,2919.541,190000,0,0,1,0,1,balance,
0.723402,9984001,0.011003,3978,-23,-0.01806416,-0.09242602,-260,3090.066,3999.377,3526.391,190000,0,0,1,0,1,balance,
0.724190,9994001,0.010000,3977,-24,-0.01884956,-0.09034309,-224,3600.000,4100.046,3526.391,190000,0,0,1,0,1,balance,
0.754195,10004001,0.010000,3977,-24,-0.01884956,-0.07679163,-189,3500.000,3937.428,3526.391,190000,0,0,1,0,1,balance,
0.754310,10014001,0.010000,3976,-25,-0.01963495,-0.07705385,-152,3700.000,4066.239,4100.046,190000,0,0,1,0,1,balance,
0.755059,10024001,0.010000,3975,-26,-0.02042035,-0.07727675,-111,4100.000,4194.577,4100.046,190000,0,0,1,0,1,balance,
0.784375,10034001,0.010000,3975,-26,-0.02042035,-0.06568524,-70,4100.000,4055.479,4100.046,190000,0,0,1,0,1,balance,
0.784490,10044998,0.010997,3975,-26,-0.02042035,-0.05583245,-25,4092.025,3937.246,4194.577,190000,0,0,1,0,1,balance,
0.785182,10054998,0.010000,3974,-27,-0.02120575,-0.05923856,17,4200.000,4103.783,4194.577,190000,0,0,1,0,1,balance,
0.814967,10064998,0.010000,3974,-27,-0.02120575,-0.05035277,59,4200.000,3997.153,4194.577,190000,0,0,1,0,1,balance,
0.815092,10074998,0.010000,3973,-28,-0.02199115,-0.05458083,100,4100.000,4173.554,4103.783,190000,0,0,1,0,1,balance,
0.815805,10084998,0.010000,3973,-28,-0.02199115,-0.04639370,141,4100.000,4075.308,4103.783,190000,0,0,1,0,1,balance,
0.845774,10094998,0.010000,3972,-29,-0.02277655,-0.05121562,182,4100.000,4258.835,4103.783,190000,0,0,1,0,1,balance,
0.845887,10106001,0.011003,3971,-30,-0.02356194,-0.05424033,228,4180.678,4420.795,4075.308,190000,0,0,1,0,1,balance,
0.846587,10116001,0.010000,3970,-31,-0.02434734,-0.05788526,268,4000.000,4590.198,4075.308,190000,0,0,1,0,1,balance,
0.876125,10126001,0.010000,3968,-33,-0.02591814,-0.07276441,309,4100.000,5020.075,4075.308,190000,0,0,1,0,1,balance,
0.876251,10136998,0.010997,3966,-35,-0.02748894,-0.08327554,356,4273.893,5397.536,4590.198,190000,0,0,1,0,1,balance,
0.876946,10146998,0.010000,3965,-36,-0.02827433,-0.08256518,402,4600.000,5514.676,4590.198,190000,0,0,1,0,1,balance,
0.906705,10156998,0.010000,3964,-37,-0.02905973,-0.08196138,447,4500.000,5633.094,4590.198,190000,0,0,1,0,1,balance,
0.906824,10166998,0.010000,3962,-39,-0.03063053,-0.09322912,497,5000.000,6019.634,5514.676,190000,0,0,1,0,1,balance,
0.907505,10176998,0.010000,3961,-40,-0.03141593,-0.09102572,552,5500.000,6118.857,5514.676,190000,0,0,1,0,1,balance,
0.937245,10186998,0.010000,3960,-41,-0.03220132,-0.08915284,607,5500.000,6222.046,5514.676,190000,0,0,1,0,1,balance,
0.937356,10198001,0.011003,3958,-43,-0.03377212,-0.09719402,669,5634.827,6569.868,6118.857,190000,0,0,1,0,1,balance,
0.938066,10208001,0.010000,3956,-45,-0.03534292,-0.10617686,731,6200.000,6928.989,6118.857,190000,0,0,1,0,1,balance,
0.967883,10218001,0.010000,3954,-47,-0.03691371,-0.11381228,792,6100.000,7271.942,6118.857,190000,0,0,1,0,1,balance,
0.968003,10228001,0.010000,3952,-49,-0.03848451,-0.12030238,855,6300.000,7601.150,6878.857,190000,0,0,1,0,1,balance,
0.968699,10238001,0.010000,3950,-51,-0.04005531,-0.12581897,924,6900.000,7918.677,6928.989,190000,0,0,1,0,1,balance,
0.998503,10248001,0.010000,3949,-52,-0.04084070,-0.11872710,994,7000.000,7959.238,6928.989,190000,0,0,1,0,1,balance,
0.998770,10258998,0.010997,3948,-53,-0.04162610,-0.11163093,1073,7183.777,7999.748,7918.677,190000,0,0,1,0,1,balance,
0.999351,10268998,0.010000,3948,-53,-0.04162610,-0.09488629,1152,7900.000,7798.812,7918.677,190000,0,0,1,0,1,balance,
1.030399,10278998,0.010000,3950,-51,-0.04005531,-0.05709140,1231,7900.000,7093.946,7918.677,190000,0,0,1,0,1,balance,
1.030633,10288998,0.010000,3952,-49,-0.03848451,-0.02496575,1310,7900.000,6457.111,7798.812,190000,0,0,1,0,1,balance,
1.031236,10298998,0.010000,3956,-45,-0.03534292,0.02590301,1388,7800.000,5344.031,7798.812,190000,0,0,1,0,1,balance,
