pc_t_s,esp_ts_us,dt_s,encoder_count,theta_counts,theta_rad,theta_dot_rad_s,position_steps,cart_vel_steps_s,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,mode,stop_reason
0.000435,33000997,0.000000,4037,36,0.02827433,0.00000000,0,0.000,-6220.353,0.000,190000,0,0,1,0,1,balance,
0.001006,33010997,0.010000,4037,36,0.02827433,0.00000000,0,0.000,-6220.353,0.000,190000,0,0,1,0,1,balance,
0.033254,33020997,0.010000,4037,36,0.02827433,0.00000000,0,0.000,-6220.353,0.000,190000,0,0,1,0,1,balance,
0.033376,33032282,0.011285,4037,36,0.02827433,0.00000000,0,0.000,-6220.353,0.000,190000,0,0,1,0,1,balance,
0.034074,33046997,0.014715,4037,36,0.02827433,0.00000000,-18,-1223.242,-6220.353,-2659.430,190000,0,0,1,0,1,balance,
0.065748,33056997,0.010000,4037,36,0.02827433,0.00000000,-54,-3600.000,-6220.353,-4559.430,190000,0,0,1,0,1,balance,
0.065853,33070001,0.013004,4037,36,0.02827433,0.00000000,-128,-5690.557,-6220.353,-6220.354,190000,0,0,1,0,1,balance,
0.066563,33080001,0.010000,4038,37,0.02905973,0.01178097,-190,-6200.000,-6463.827,-6220.354,190000,0,0,1,0,1,balance,
0.100093,33090001,0.010000,4038,37,0.02905973,0.01001383,-252,-6200.000,-6453.224,-6220.354,190000,0,0,1,0,1,balance,
0.100208,33102997,0.012996,4040,39,0.03063053,0.02664190,-333,-6232.687,-6898.568,-6463.827,190000,0,0,1,0,1,balance,
0.100924,33112997,0.010000,4035,34,0.02670354,-0.03625924,-398,-6500.000,-5657.223,-6463.827,190000,0,0,1,0,1,balance,
0.133397,33122997,0.010000,4030,29,0.02277655,-0.08972522,-463,-6500.000,-4472.489,-6463.827,190000,0,0,1,0,1,balance,
0.133503,33136997,0.014000,4022,21,0.01649336,-0.14358628,-552,-6357.143,-2767.022,-5694.174,190000,0,0,1,0,1,balance,
0.134208,33146997,0.010000,4017,16,0.01256637,-0.18095320,-608,-5600.000,-1678.882,-5657.223,190000,0,0,1,0,1,balance,
0.166704,33156997,0.010000,4014,13,0.01021018,-0.18915314,-665,-5700.000,-1111.320,-5657.223,190000,0,0,1,0,1,balance,
0.166804,33170001,0.013004,4009,8,0.00628319,-0.20607766,-736,-5459.859,-145.835,-4897.223,190000,0,0,1,0,1,balance,
0.167520,33180001,0.010000,4005,4,0.00314159,-0.22228990,-774,-3800.000,642.589,-2997.223,190000,0,0,1,0,1,balance,
