pc_t_s,esp_ts_us,dt_s,encoder_count,theta_counts,theta_rad,theta_dot_rad_s,position_steps,cart_vel_steps_s,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,mode,stop_reason
0.000094,6314004,0.000000,3919,-82,-0.06440265,0.00000000,0,0.000,10304.424,0.000,190000,0,0,0,0,1,balance,
0.000663,6324998,0.010994,3919,-82,-0.06440265,0.00000000,0,0.000,10304.424,0.000,190000,0,0,1,0,1,balance,
0.001393,6334998,0.010000,3919,-82,-0.06440265,0.00000000,0,0.000,10304.424,0.000,190000,0,0,1,0,1,balance,
0.030608,6344998,0.010000,3919,-82,-0.06440265,0.00000000,0,0.000,10304.424,0.000,190000,0,0,1,0,1,balance,
0.030769,6356998,0.012000,3920,-81,-0.06361725,0.00981748,1,83.333,10060.950,758.670,190000,0,0,1,0,1,balance,
0.031459,6366998,0.010000,3920,-81,-0.06361725,0.00834486,18,1700.000,10078.622,2658.670,190000,0,0,1,0,1,balance,
0.061232,6376998,0.010000,3921,-80,-0.06283185,0.01887410,54,3600.000,9826.607,4558.670,190000,0,0,1,0,1,balance,
0.061345,6386998,0.010000,3921,-80,-0.06283185,0.01604298,109,5500.000,9860.581,6458.670,190000,0,0,1,0,1,balance,
0.062029,6396998,0.010000,3921,-80,-0.06283185,0.01363654,183,7400.000,9889.458,8358.671,190000,0,0,1,0,1,balance,
0.091802,6406998,0.010000,3921,-80,-0.06283185,0.01159106,276,9300.000,9914.004,10078.622,190000,0,0,1,0,1,balance,
0.091917,6418001,0.011003,3920,-81,-0.06361725,-0.00085466,386,9997.273,10189.016,9889.458,190000,0,0,1,0,1,balance,
0.092624,6428001,0.010000,3928,-73,-0.05733407,0.09352132,485,9900.000,8051.195,9889.458,190000,0,0,1,0,1,balance,
0.122412,6438001,0.010000,3935,-66,-0.05183628,0.16195993,584,9900.000,6350.285,9889.458,190000,0,0,1,0,1,balance,
0.122537,6448998,0.010997,3944,-57,-0.04476770,0.23408201,691,9729.926,4353.847,9154.954,190000,0,0,1,0,1,balance,
0.123217,6459001,0.010003,3952,-49,-0.03848451,0.29318922,775,8397.481,2639.251,8051.195,190000,0,0,1,0,1,balance,
0.146135,6474246,0.015245,3960,-41,-0.03220132,0.31103293,898,8068.219,1419.817,7670.245,190000,0,0,1,0,1,balance,
0.179558,6488998,0.014752,3969,-32,-0.02513274,0.33625215,992,6372.017,-13.787,5011.195,190000,0,0,1,0,1,balance,
0.179685,6500998,0.012000,3974,-27,-0.02120575,0.33490171,1039,3916.667,-625.900,2731.195,190000,0,0,1,0,1,balance,
0.180383,6510998,0.010000,3976,-25,-0.01963495,0.30822840,1058,1900.000,-557.148,1419.817,190000,0,0,1,0,1,balance,
0.210034,6520998,0.010000,3978,-23,-0.01806416,0.28555608,1072,1400.000,-536.408,1419.817,190000,0,0,1,0,1,balance,
0.210150,6531237,0.010239,3980,-21,-0.01649336,0.26573463,1087,1464.987,-549.878,1419.817,190000,0,0,1,0,1,balance,
0.210862,6546001,0.014764,3981,-20,-0.01570796,0.23385396,1089,135.465,-292.973,-557.148,190000,0,0,1,0,1,balance,
0.241122,6556001,0.010000,3981,-20,-0.01570796,0.19877587,1083,-600.000,127.964,-557.148,190000,0,0,1,0,1,balance,
0.241241,6566998,0.010997,3980,-21,-0.01649336,0.15824659,1078,-454.669,739.979,-292.973,190000,0,0,1,0,1,balance,
0.241936,6576998,0.010000,3980,-21,-0.01649336,0.13450960,1075,-300.000,1024.823,-292.973,190000,0,0,1,0,1,balance,
0.263145,6586998,0.010000,3980,-21,-0.01649336,0.11433316,1072,-300.000,1266.940,-292.973,190000,0,0,1,0,1,balance,
0.263237,6598001,0.011003,3979,-22,-0.01727876,0.08647613,1071,-90.884,1726.888,467.027,190000,0,0,1,0,1,balance,
0.295412,6608001,0.010000,3979,-22,-0.01727876,0.07350471,1081,1000.000,1882.545,1024.823,190000,0,0,1,0,1,balance,
0.295528,6618998,0.010997,3981,-20,-0.01570796,0.08390480,1094,1182.141,1506.417,1726.888,190000,0,0,1,0,1,balance,
0.296237,6628998,0.010000,3982,-19,-0.01492257,0.08310005,1112,1800.000,1390.410,1726.888,190000,0,0,1,0,1,balance,
0.326015,6638998,0.010000,3983,-18,-0.01413717,0.08241602,1129,1700.000,1272.955,1726.888,190000,0,0,1,0,1,balance,
0.326126,6652001,0.013003,3985,-16,-0.01256637,0.08817401,1150,1615.012,952.531,1390.410,190000,0,0,1,0,1,balance,
0.326829,6662001,0.010000,3986,-15,-0.01178097,0.08672888,1164,1400.000,844.209,1390.410,190000,0,0,1,0,1,balance,
0.361625,6672001,0.010000,3988,-13,-0.01021018,0.09728149,1178,1400.000,466.250,1390.410,190000,0,0,1,0,1,balance,
0.361768,6682998,0.010997,3989,-12,-0.00942478,0.09340216,1191,1182.141,387.139,844.209,190000,0,0,1,0,1,balance,
0.362448,6692998,0.010000,3990,-11,-0.00863938,0.09117281,1200,900.000,288.227,844.209,190000,0,0,1,0,1,balance,
0.395955,6702998,0.010000,3991,-10,-0.00785398,0.08927786,1208,800.000,185.303,844.209,190000,0,0,1,0,1,balance,
0.396202,6713237,0.010239,3992,-9,-0.00706858,0.08739216,1217,878.992,82.267,844.209,190000,0,0,1,0,1,balance,
0.396764,6728001,0.014764,3994,-7,-0.00549779,0.09024239,1222,338.662,-203.263,288.227,190000,0,0,1,0,1,balance,
0.426539,6738001,0.010000,3994,-7,-0.00549779,0.07670603,1225,300.000,-40.826,288.227,190000,0,0,1,0,1,balance,
0.426662,6748245,0.010244,3995,-6,-0.00471239,0.07670049,1228,292.854,-166.424,185.303,190000,0,0,1,0,1,balance,
0.427356,6762998,0.014753,3996,-5,-0.00392699,0.07318089,1225,-203.348,-249.852,-203.263,190000,0,0,1,0,1,balance,
0.458307,6772998,0.010000,3997,-4,-0.00314159,0.07398473,1223,-200.000,-385.162,-203.263,190000,0,0,1,0,1,balance,
0.458427,6782998,0.010000,3998,-3,-0.00235619,0.07466799,1221,-200.000,-519.025,-249.852,190000,0,0,1,0,1,balance,
0.459127,6792998,0.010000,3999,-2,-0.00157080,0.07524877,1219,-200.000,-651.658,-249.852,190000,0,0,1,0,1,balance,
0.489020,6802998,0.010000,4000,-1,-0.00078540,0.07574242,1217,-200.000,-783.245,-249.852,190000,0,0,1,0,1,balance,
0.489150,6814998,0.012000,4001,0,0.00000000,0.07419854,1212,-416.667,-890.382,-651.658,190000,0,0,1,0,1,balance,
0.489850,6824998,0.010000,4001,0,0.00000000,0.06306876,1206,-600.000,-756.825,-651.658,190000,0,0,1,0,1,balance,
0.519610,6834998,0.010000,4001,0,0.00000000,0.05360844,1199,-700.000,-643.301,-651.658,190000,0,0,1,0,1,balance,
0.519824,6846001,0.011003,4000,-1,-0.00078540,0.03486012,1191,-727.074,-292.658,-756.825,190000,0,0,1,0,1,balance,
0.520466,6856001,0.010000,3999,-2,-0.00157080,0.01785013,1184,-700.000,37.126,-756.825,190000,0,0,1,0,1,balance,
0.550758,6866001,0.010000,3999,-2,-0.00157080,0.01517261,1176,-800.000,69.256,-756.825,190000,0,0,1,0,1,balance,
0.550882,6876001,0.010000,3998,-3,-0.00235619,0.00111575,1172,-400.000,363.602,3.175,190000,0,0,1,0,1,balance,
0.551579,6886001,0.010000,3999,-2,-0.00157080,0.01272936,1175,300.000,98.575,37.126,190000,0,0,1,0,1,balance,
0.582756,6896001,0.010000,4000,-1,-0.00078540,0.02260093,1179,400.000,-145.547,37.126,190000,0,0,1,0,1,balance,
0.582877,6906998,0.010997,4000,-1,-0.00078540,0.01921079,1182,272.802,-104.866,98.575,190000,0,0,1,0,1,balance,
0.583578,6916998,0.010000,4000,-1,-0.00078540,0.01632917,1183,100.000,-70.286,98.575,190000,0,0,1,0,1,balance,
0.613319,6926998,0.010000,4000,-1,-0.00078540,0.01387979,1184,100.000,-40.894,98.575,190000,0,0,1,0,1,balance,
0.613437,6938998,0.012000,4000,-1,-0.00078540,0.01179782,1185,83.333,-15.910,-70.286,190000,0,0,1,0,1,balance,
0.614126,6948998,0.010000,4000,-1,-0.00078540,0.01002815,1184,-100.000,5.326,-70.286,190000,0,0,1,0,1,balance,
0.643984,6958998,0.010000,4000,-1,-0.00078540,0.00852393,1184,0.000,23.377,-70.286,190000,0,0,1,0,1,balance,
0.644096,6970001,0.011003,4000,-1,-0.00078540,0.00724534,1183,-90.884,38.720,5.326,190000,0,0,1,0,1,balance,
0.644805,6980001,0.010000,4000,-1,-0.00078540,0.00615854,1184,100.000,51.761,5.326,190000,0,0,1,0,1,balance,
0.674641,6990001,0.010000,4001,0,0.00000000,0.01701573,1185,100.000,-204.189,5.326,190000,0,0,1,0,1,balance,
0.674932,7000998,0.010997,4001,0,0.00000000,0.01446337,1185,0.000,-173.560,51.761,190000,0,0,1,0,1,balance,
0.675445,7010998,0.010000,4001,0,0.00000000,0.01229386,1186,100.000,-147.526,51.761,190000,0,0,1,0,1,balance,
0.705234,7020998,0.010000,4001,0,0.00000000,0.01044979,1186,0.000,-125.397,51.761,190000,0,0,1,0,1,balance,
0.705353,7030998,0.010000,4002,1,0.00078540,0.02066329,1187,100.000,-373.623,-147.526,190000,0,0,1,0,1,balance,
0.706045,7040998,0.010000,4002,1,0.00078540,0.01756380,1185,-200.000,-336.429,-147.526,190000,0,0,1,0,1,balance,
0.735801,7050998,0.010000,4003,2,0.00157080,0.02671020,1184,-100.000,-571.850,-147.526,190000,0,0,1,0,1,balance,
0.736102,7062001,0.011003,4003,2,0.00157080,0.02270367,1181,-272.653,-523.771,-336.429,190000,0,0,1,0,1,balance,
0.736625,7072001,0.010000,4003,2,0.00157080,0.01929812,1178,-300.000,-482.905,-336.429,190000,0,0,1,0,1,balance,
0.766634,7082001,0.010000,4004,3,0.00235619,0.02818437,1175,-300.000,-715.204,-336.429,190000,0,0,1,0,1,balance,
0.766758,7092998,0.010997,4005,4,0.00314159,0.03466961,1170,-454.669,-918.690,-482.905,190000,0,0,1,0,1,balance,
0.767446,7102998,0.010000,4005,4,0.00314159,0.02946917,1165,-500.000,-856.285,-482.905,190000,0,0,1,0,1,balance,
0.797057,7112998,0.010000,4006,5,0.00392699,0.03682977,1160,-500.000,-1070.276,-482.905,190000,0,0,1,0,1,balance,
