pc_t_s,esp_ts_us,dt_s,encoder_count,theta_counts,theta_rad,theta_dot_rad_s,position_steps,cart_vel_steps_s,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,mode,stop_reason
0.000090,10930004,0.000000,4084,83,0.06518805,0.00000000,0,0.000,-19556.414,0.000,190000,0,0,0,0,1,balance,
0.000702,10940001,0.009997,4083,82,0.06440265,-0.01178451,0,0.000,-19250.088,0.000,190000,0,0,1,0,1,balance,
0.001356,10950001,0.010000,4082,81,0.06361725,-0.02179780,0,0.000,-18954.389,0.000,190000,0,0,1,0,1,balance,
0.030589,10960001,0.010000,4080,79,0.06204645,-0.04209008,0,0.000,-18361.396,0.000,190000,0,0,1,0,1,balance,
0.030707,10972001,0.012000,4079,78,0.06126106,-0.04559404,-2,-166.667,-18104.753,-760.000,190000,0,0,1,0,1,balance,
0.031408,10982001,0.010000,4078,77,0.06047566,-0.05053591,-21,-1900.000,-17839.482,-2660.000,190000,0,0,1,0,1,balance,
0.061180,10992001,0.010000,4077,76,0.05969026,-0.05473650,-59,-3800.000,-17578.659,-4560.000,190000,0,0,1,0,1,balance,
0.061295,11002997,0.010996,4076,75,0.05890486,-0.05723989,-122,-5729.356,-17328.019,-6840.000,190000,0,0,1,0,1,balance,
0.062001,11012997,0.010000,4075,74,0.05811946,-0.06043488,-200,-7800.000,-17073.230,-8740.001,190000,0,0,1,0,1,balance,
0.093395,11022997,0.010000,4074,73,0.05733407,-0.06315062,-297,-9700.000,-16821.316,-10640.001,190000,0,0,1,0,1,balance,
0.093518,11032997,0.010000,4074,73,0.05733407,-0.05367803,-413,-11600.000,-16878.152,-12540.001,190000,0,0,1,0,1,balance,
0.094215,11042997,0.010000,4065,64,0.05026548,-0.15165508,-547,-13400.000,-14169.714,-14440.001,190000,0,0,1,0,1,balance,
0.123929,11052997,0.010000,4052,51,0.04005531,-0.28205946,-701,-15400.000,-10324.235,-16340.001,190000,0,0,1,0,1,balance,
0.124040,11064997,0.012000,4036,35,0.02748894,-0.39683017,-902,-16750.000,-5865.700,-16062.267,190000,0,0,1,0,1,balance,
0.124731,11074997,0.010000,4024,23,0.01806416,-0.47867731,-1053,-15100.000,-2547.183,-14169.714,190000,0,0,1,0,1,balance,
0.154430,11084997,0.010000,4013,12,0.00942478,-0.53646641,-1194,-14100.000,391.365,-14169.714,190000,0,0,1,0,1,balance,
0.154557,11096001,0.011004,4003,2,0.00157080,-0.56305727,-1348,-13994.911,2907.105,-13409.714,190000,0,0,1,0,1,balance,
0.155255,11106001,0.010000,3993,-8,-0.00628319,-0.59640840,-1471,-12300.000,5463.406,-11509.714,190000,0,0,1,0,1,balance,
0.185075,11116001,0.010000,3985,-16,-0.01256637,-0.60119492,-1575,-10400.000,7377.081,-9609.714,190000,0,0,1,0,1,balance,
0.185199,11126001,0.010000,3979,-22,-0.01727876,-0.58170152,-1659,-8400.000,8673.837,-7709.714,190000,0,0,1,0,1,balance,
0.185882,11136001,0.010000,3973,-28,-0.02199115,-0.56513213,-1725,-6600.000,9988.137,-5809.714,190000,0,0,1,0,1,balance,
