pc_t_s,esp_ts_us,dt_s,encoder_count,theta_counts,theta_rad,theta_dot_rad_s,position_steps,cart_vel_steps_s,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,mode,stop_reason
0.000362,7192004,0.000000,4070,69,0.05419247,0.00000000,0,0.000,-8670.796,0.000,190000,0,0,0,0,1,balance,
0.001010,7202001,0.009997,4070,69,0.05419247,0.00000000,0,0.000,-8670.796,0.000,190000,0,0,1,0,1,balance,
0.030480,7212001,0.010000,4070,69,0.05419247,0.00000000,0,0.000,-8670.796,0.000,190000,0,0,1,0,1,balance,
0.030603,7224001,0.012000,4069,68,0.05340708,-0.00981748,-2,-166.667,-8427.322,-760.000,190000,0,0,1,0,1,balance,
0.031348,7234001,0.010000,4069,68,0.05340708,-0.00834486,-21,-1900.000,-8444.994,-2660.000,190000,0,0,1,0,1,balance,
0.061023,7244001,0.010000,4069,68,0.05340708,-0.00709313,-59,-3800.000,-8460.014,-4560.000,190000,0,0,1,0,1,balance,
0.061136,7254001,0.010000,4068,67,0.05262168,-0.01781013,-116,-5700.000,-8205.747,-6460.000,190000,0,0,1,0,1,balance,
0.061846,7264001,0.010000,4068,67,0.05262168,-0.01513861,-191,-7500.000,-8237.805,-8360.001,190000,0,0,1,0,1,balance,
0.091610,7274001,0.010000,4067,66,0.05183628,-0.02464879,-276,-8500.000,-7998.019,-8444.994,190000,0,0,1,0,1,balance,
0.091722,7284998,0.010997,4066,65,0.05105088,-0.03166437,-368,-8365.918,-7788.168,-8237.805,190000,0,0,1,0,1,balance,
0.092414,7294998,0.010000,4066,65,0.05105088,-0.02691471,-451,-8300.000,-7845.164,-8237.805,190000,0,0,1,0,1,balance,
0.122047,7304998,0.010000,4061,60,0.04712389,-0.08178237,-533,-8200.000,-6558.434,-8237.805,190000,0,0,1,0,1,balance,
0.122178,7314998,0.010000,4053,52,0.04084070,-0.16376279,-614,-8100.000,-4569.359,-7845.165,190000,0,0,1,0,1,balance,
0.122849,7324998,0.010000,4047,46,0.03612832,-0.20988421,-692,-7800.000,-3261.920,-7845.165,190000,0,0,1,0,1,balance,
0.154151,7334998,0.010000,4042,41,0.03220132,-0.23730644,-771,-7900.000,-2304.535,-7845.165,190000,0,0,1,0,1,balance,
0.154274,7346001,0.011003,4035,34,0.02670354,-0.27665986,-855,-7634.282,-952.648,-7085.165,190000,0,0,1,0,1,balance,
0.155026,7356001,0.010000,4030,29,0.02277655,-0.29406574,-914,-5900.000,-115.459,-5185.165,190000,0,0,1,0,1,balance,
0.186627,7366001,0.010000,4026,25,0.01963495,-0.29707977,-955,-4100.000,423.365,-3285.165,190000,0,0,1,0,1,balance,
0.186735,7378001,0.012000,4023,22,0.01727876,-0.28197024,-992,-3083.333,619.041,-2501.920,190000,0,0,1,0,1,balance,
0.187449,7388001,0.010000,4020,19,0.01492257,-0.27501762,-1005,-1300.000,912.601,-601.920,190000,0,0,1,0,1,balance,
0.218685,7398001,0.010000,4019,18,0.01413717,-0.24554595,-1007,-200.000,684.605,-115.459,190000,0,0,1,0,1,balance,
0.218799,7410001,0.012000,4018,17,0.01335177,-0.21853153,-1005,166.667,486.095,644.541,190000,0,0,1,0,1,balance,
0.219500,7420001,0.010000,4017,16,0.01256637,-0.19753278,-996,900.000,359.774,912.601,190000,0,0,1,0,1,balance,
0.252959,7430001,0.010000,4018,17,0.01335177,-0.15612189,-986,1000.000,-262.820,912.601,190000,0,0,1,0,1,balance,
0.253080,7442001,0.012000,4019,18,0.01413717,-0.12288613,-977,750.000,-787.313,359.774,190000,0,0,1,0,1,balance,
0.253783,7452001,0.010000,4019,18,0.01413717,-0.10445321,-974,300.000,-1008.508,359.774,190000,0,0,1,0,1,balance,
0.286635,7462001,0.010000,4018,17,0.01335177,-0.10056620,-970,400.000,-929.489,359.774,190000,0,0,1,0,1,balance,
0.286767,7472245,0.010244,4018,17,0.01335177,-0.08548127,-967,292.854,-1110.508,-21.176,190000,0,0,1,0,1,balance,
0.287461,7486998,0.014753,4018,17,0.01335177,-0.07265908,-980,-881.177,-1264.374,-1008.508,190000,0,0,1,0,1,balance,
0.318476,7496998,0.010000,4017,16,0.01256637,-0.07354119,-990,-1000.000,-1128.125,-1008.508,190000,0,0,1,0,1,balance,
0.318592,7510001,0.013003,4016,15,0.01178097,-0.07157021,-1004,-1076.675,-1026.113,-1264.374,190000,0,0,1,0,1,balance,
0.319282,7520001,0.010000,4015,14,0.01099557,-0.07261565,-1016,-1200.000,-887.904,-1264.374,190000,0,0,1,0,1,balance,
0.352694,7530001,0.010000,4014,13,0.01021018,-0.07350427,-1029,-1300.000,-751.577,-1264.374,190000,0,0,1,0,1,balance,
0.352803,7542001,0.012000,4013,12,0.00942478,-0.07229611,-1043,-1166.667,-640.411,-887.904,190000,0,0,1,0,1,balance,
0.353503,7552001,0.010000,4012,11,0.00863938,-0.07323267,-1052,-900.000,-503.509,-887.904,190000,0,0,1,0,1,balance,
0.386601,7562001,0.010000,4012,11,0.00863938,-0.06224777,-1060,-800.000,-635.328,-887.904,190000,0,0,1,0,1,balance,
0.386725,7576001,0.014000,4011,10,0.00785398,-0.06132558,-1071,-785.714,-520.730,-503.509,190000,0,0,1,0,1,balance,
0.387446,7586001,0.010000,4011,10,0.00785398,-0.05212674,-1076,-500.000,-631.116,-503.509,190000,0,0,1,0,1,balance,
0.418446,7596001,0.010000,4010,9,0.00706858,-0.05608870,-1081,-500.000,-457.909,-503.509,190000,0,0,1,0,1,balance,
0.418594,7610001,0.014000,4009,8,0.00628319,-0.05609038,-1089,-571.429,-332.225,-631.116,190000,0,0,1,0,1,balance,
0.419284,7620001,0.010000,4008,7,0.00549779,-0.05945779,-1095,-600.000,-166.152,-631.116,190000,0,0,1,0,1,balance,
0.449052,7630001,0.010000,4007,6,0.00471239,-0.06232010,-1102,-700.000,-6.141,-631.116,190000,0,0,1,0,1,balance,
0.449179,7642001,0.012000,4006,5,0.00392699,-0.06278956,-1107,-416.667,125.156,-166.152,190000,0,0,1,0,1,balance,
0.449864,7652001,0.010000,4005,4,0.00314159,-0.06515210,-1109,-200.000,279.170,-166.152,190000,0,0,1,0,1,balance,
0.479531,7662001,0.010000,4005,4,0.00314159,-0.05537928,-1111,-200.000,161.897,-166.152,190000,0,0,1,0,1,balance,
0.479645,7672998,0.010997,4005,4,0.00314159,-0.04707239,-1111,0.000,62.214,279.170,190000,0,0,1,0,1,balance,
0.480359,7682998,0.010000,4005,4,0.00314159,-0.04001153,-1108,300.000,-22.516,279.170,190000,0,0,1,0,1,balance,
0.510228,7692998,0.010000,4005,4,0.00314159,-0.03400980,-1105,300.000,-94.537,279.170,190000,0,0,1,0,1,balance,
