pc_t_s,esp_ts_us,dt_s,encoder_count,theta_counts,theta_rad,theta_dot_rad_s,position_steps,cart_vel_steps_s,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,mode,stop_reason
0.000444,5100001,0.000000,3994,-7,-0.00549779,0.00000000,0,0.000,879.646,0.000,190000,0,0,1,0,1,balance,
0.030117,5110001,0.010000,3994,-7,-0.00549779,0.00000000,0,0.000,879.646,0.000,190000,0,0,1,0,1,balance,
0.030244,5120998,0.010997,3995,-6,-0.00471239,0.01071290,1,90.934,625.427,759.430,190000,0,0,1,0,1,balance,
0.030959,5130998,0.010000,3995,-6,-0.00471239,0.00910596,10,900.000,644.711,879.646,190000,0,0,1,0,1,balance,
0.060785,5140998,0.010000,3995,-6,-0.00471239,0.00774007,19,900.000,661.101,879.646,190000,0,0,1,0,1,balance,
0.060911,5152001,0.011003,3995,-6,-0.00471239,0.00657906,27,727.074,675.034,644.711,190000,0,0,1,0,1,balance,
0.061611,5162001,0.010000,3994,-7,-0.00549779,-0.00618877,34,700.000,953.911,644.711,190000,0,0,1,0,1,balance,
0.091138,5172001,0.010000,3994,-7,-0.00549779,-0.00526046,40,600.000,942.771,644.711,190000,0,0,1,0,1,balance,
0.091261,5182998,0.010997,3994,-7,-0.00549779,-0.00447139,48,727.471,933.303,953.911,190000,0,0,1,0,1,balance,
0.091949,5192998,0.010000,3994,-7,-0.00549779,-0.00380068,58,1000.000,925.254,953.911,190000,0,0,1,0,1,balance,
0.121800,5202998,0.010000,3994,-7,-0.00549779,-0.00323058,67,900.000,918.413,953.911,190000,0,0,1,0,1,balance,
0.121945,5212998,0.010000,3995,-6,-0.00471239,0.00903498,77,1000.000,645.562,925.254,190000,0,0,1,0,1,balance,
0.122622,5222998,0.010000,3996,-5,-0.00392699,0.01946071,86,900.000,394.790,925.254,190000,0,0,1,0,1,balance,
0.152516,5232998,0.010000,3997,-4,-0.00314159,0.02832257,95,900.000,162.784,925.254,190000,0,0,1,0,1,balance,
0.152629,5244001,0.011003,3997,-4,-0.00314159,0.02407419,104,817.959,213.765,394.790,190000,0,0,1,0,1,balance,
0.153374,5254001,0.010000,3998,-3,-0.00235619,0.03224403,107,300.000,-9.937,394.790,190000,0,0,1,0,1,balance,
