pc_t_s,esp_ts_us,dt_s,encoder_count,theta_counts,theta_rad,theta_dot_rad_s,position_steps,cart_vel_steps_s,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,mode,stop_reason
0.000081,8506004,0.000000,3988,-13,-0.01021018,0.00000000,0,0.000,1633.628,0.000,190000,0,0,0,0,1,balance,
0.000640,8518001,0.011997,3987,-14,-0.01099557,-0.00981993,0,0.000,1877.131,0.000,190000,0,0,1,0,1,balance,
0.001322,8528001,0.010000,3987,-14,-0.01099557,-0.00834694,0,0.000,1859.455,0.000,190000,0,0,1,0,1,balance,
0.030543,8538001,0.010000,3987,-14,-0.01099557,-0.00709490,0,0.000,1844.431,0.000,190000,0,0,1,0,1,balance,
0.030649,8550001,0.012000,3987,-14,-0.01099557,-0.00603067,2,166.667,1831.660,760.000,190000,0,0,1,0,1,balance,
0.031356,8560001,0.010000,3988,-13,-0.01021018,0.00665491,18,1600.000,1553.769,1859.455,190000,0,0,1,0,1,balance,
0.061073,8570001,0.010000,3988,-13,-0.01021018,0.00565667,37,1900.000,1565.748,1859.455,190000,0,0,1,0,1,balance,
0.061183,8580001,0.010000,3987,-14,-0.01099557,-0.00697280,54,1700.000,1842.966,1553.769,190000,0,0,1,0,1,balance,
0.061902,8590001,0.010000,3987,-14,-0.01099557,-0.00592688,70,1600.000,1830.414,1553.769,190000,0,0,1,0,1,balance,
0.091597,8600001,0.010000,3987,-14,-0.01099557,-0.00503785,85,1500.000,1819.746,1553.769,190000,0,0,1,0,1,balance,
0.091696,8610998,0.010997,3986,-15,-0.01178097,-0.01499507,103,1636.810,2064.896,1830.414,190000,0,0,1,0,1,balance,
0.092397,8620998,0.010000,3987,-14,-0.01099557,-0.00096484,122,1900.000,1770.870,1830.414,190000,0,0,1,0,1,balance,
0.124324,8630998,0.010000,3988,-13,-0.01021018,0.01096086,140,1800.000,1502.098,1830.414,190000,0,0,1,0,1,balance,
0.124466,8640998,0.010000,3990,-11,-0.00863938,0.03287868,158,1800.000,987.757,1770.870,190000,0,0,1,0,1,balance,
0.125148,8650998,0.010000,3991,-10,-0.00785398,0.03972785,176,1800.000,779.903,1770.870,190000,0,0,1,0,1,balance,
0.154799,8661000,0.010002,3990,-11,-0.00863938,0.02199005,193,1699.660,1118.420,1770.870,190000,0,0,1,0,1,balance,
0.154911,8674001,0.013001,3992,-9,-0.00706858,0.03681473,214,1615.260,689.197,1010.870,190000,0,0,1,0,1,balance,
0.155615,8684001,0.010000,3991,-10,-0.00785398,0.01951154,222,800.000,1022.499,779.903,190000,0,0,1,0,1,balance,
0.185220,8694001,0.010000,3991,-10,-0.00785398,0.01658481,230,800.000,1057.619,779.903,190000,0,0,1,0,1,balance,
0.185343,8704001,0.010000,3991,-10,-0.00785398,0.01409709,238,800.000,1087.472,1022.499,190000,0,0,1,0,1,balance,
0.186022,8714001,0.010000,3991,-10,-0.00785398,0.01198253,249,1100.000,1112.847,1022.499,190000,0,0,1,0,1,balance,
0.215737,8724001,0.010000,3991,-10,-0.00785398,0.01018515,259,1000.000,1134.415,1022.499,190000,0,0,1,0,1,balance,
0.215856,8734998,0.010997,3991,-10,-0.00785398,0.00865738,270,1000.273,1152.749,1112.847,190000,0,0,1,0,1,balance,
0.216554,8744998,0.010000,3991,-10,-0.00785398,0.00735877,282,1200.000,1168.332,1112.847,190000,0,0,1,0,1,balance,
0.247236,8754998,0.010000,3991,-10,-0.00785398,0.00625495,293,1100.000,1181.578,1112.847,190000,0,0,1,0,1,balance,
0.247360,8764998,0.010000,3991,-10,-0.00785398,0.00531671,304,1100.000,1192.837,1168.332,190000,0,0,1,0,1,balance,
0.248048,8774998,0.010000,3991,-10,-0.00785398,0.00451920,316,1200.000,1202.407,1168.332,190000,0,0,1,0,1,balance,
0.277664,8784998,0.010000,3992,-9,-0.00706858,0.01562230,327,1100.000,943.506,1168.332,190000,0,0,1,0,1,balance,
0.277836,8796998,0.012000,3992,-9,-0.00706858,0.01327895,341,1166.667,971.626,1202.407,190000,0,0,1,0,1,balance,
0.278522,8806998,0.010000,3992,-9,-0.00706858,0.01128711,354,1300.000,995.528,1202.407,190000,0,0,1,0,1,balance,
0.308072,8816998,0.010000,3993,-8,-0.00628319,0.02137501,366,1200.000,748.809,1202.407,190000,0,0,1,0,1,balance,
0.308181,8826998,0.010000,3993,-8,-0.00628319,0.01816876,376,1000.000,787.284,995.528,190000,0,0,1,0,1,balance,
0.308870,8836998,0.010000,3994,-7,-0.00549779,0.02722442,386,1000.000,552.953,995.528,190000,0,0,1,0,1,balance,
0.338567,8846998,0.010000,3994,-7,-0.00549779,0.02314076,396,1000.000,601.957,995.528,190000,0,0,1,0,1,balance,
0.338695,8858001,0.011003,3993,-8,-0.00628319,0.00896259,406,908.843,897.759,552.953,190000,0,0,1,0,1,balance,
0.339398,8868001,0.010000,3993,-8,-0.00628319,0.00761820,411,500.000,913.891,552.953,190000,0,0,1,0,1,balance,
0.369016,8878001,0.010000,3993,-8,-0.00628319,0.00647547,417,600.000,927.604,552.953,190000,0,0,1,0,1,balance,
0.369136,8888001,0.010000,3994,-7,-0.00549779,0.01728512,424,700.000,672.224,913.891,190000,0,0,1,0,1,balance,
0.369839,8898001,0.010000,3994,-7,-0.00549779,0.01469235,433,900.000,703.338,913.891,190000,0,0,1,0,1,balance,
0.400545,8908001,0.010000,3995,-6,-0.00471239,0.02426947,442,900.000,462.749,913.891,190000,0,0,1,0,1,balance,
0.400666,8918998,0.010997,3997,-4,-0.00314159,0.04205485,451,818.405,-2.003,703.338,190000,0,0,1,0,1,balance,
0.401352,8928998,0.010000,3999,-2,-0.00157080,0.05930856,458,700.000,-460.375,703.338,190000,0,0,1,0,1,balance,
0.432026,8938998,0.010000,4001,0,0.00000000,0.07397422,465,700.000,-887.691,703.338,190000,0,0,1,0,1,balance,
0.432142,8950001,0.011003,4004,3,0.00235619,0.09499926,471,545.306,-1516.982,-56.662,190000,0,0,1,0,1,balance,
0.432876,8960001,0.010000,4007,6,0.00471239,0.11609228,466,-500.000,-2147.090,-460.375,190000,0,0,1,0,1,balance,
0.462543,8970001,0.010000,4011,10,0.00785398,0.14580233,462,-400.000,-3006.265,-460.375,190000,0,0,1,0,1,balance,
0.462666,8982001,0.012000,4017,16,0.01256637,0.18283684,454,-666.667,-4204.661,-1220.375,190000,0,0,1,0,1,balance,
0.463354,8992001,0.010000,4023,22,0.01727876,0.22609715,434,-2000.000,-5477.767,-2147.090,190000,0,0,1,0,1,balance,
0.492967,9002001,0.010000,4029,28,0.02199115,0.26286841,413,-2100.000,-6000.000,-2147.090,190000,0,0,1,0,1,balance,
0.493097,9012001,0.010000,4035,34,0.02670354,0.29412399,389,-2400.000,-6000.000,-2907.090,190000,0,0,1,0,1,balance,
0.493824,9022001,0.010000,4043,42,0.03298672,0.34425317,348,-4100.000,-6000.000,-4807.090,190000,0,0,1,0,1,balance,
0.523519,9032001,0.010000,4050,49,0.03848451,0.37508200,294,-5400.000,-6000.000,-5477.768,190000,0,0,1,0,1,balance,
0.523722,9042001,0.010000,4057,56,0.04398230,0.40128651,238,-5600.000,-6000.000,-6000.000,190000,0,0,1,0,1,balance,
0.524340,9052001,0.010000,4064,63,0.04948008,0.42356034,178,-6000.000,-6000.000,-6000.000,190000,0,0,1,0,1,balance,
0.554041,9062001,0.010000,4073,72,0.05654867,0.46605504,118,-6000.000,-6000.000,-6000.000,190000,0,0,1,0,1,balance,
0.554134,9072998,0.010997,4083,82,0.06440265,0.50327575,52,-6001.637,-6000.000,-6000.000,190000,0,0,1,0,1,balance,
0.554835,9082998,0.010000,4091,90,0.07068583,0.52203217,-8,-6000.000,-6000.000,-6000.000,190000,0,0,1,0,1,balance,
0.584545,9092998,0.010000,4101,100,0.07853982,0.56153707,-68,-6000.000,-6000.000,-6000.000,190000,0,0,1,0,1,balance,
0.584656,9104001,0.011003,4113,112,0.08796459,0.60579116,-134,-5998.364,-6000.000,-6000.000,190000,0,0,1,0,1,balance,
0.585371,9114001,0.010000,4124,123,0.09660397,0.64451319,-194,-6000.000,-6000.000,-6000.000,190000,0,0,1,0,1,balance,
0.615036,9124001,0.010000,4135,134,0.10524335,0.67742691,-254,-6000.000,-6000.000,-6000.000,190000,0,0,1,0,1,balance,
0.615141,9134001,0.010000,4147,146,0.11466813,0.71718454,-314,-6000.000,-6000.000,-6000.000,190000,0,0,1,0,1,balance,
0.615849,9144001,0.010000,4160,159,0.12487831,0.76275950,-374,-6000.000,-6000.000,-6000.000,190000,0,0,1,0,1,balance,
0.645532,9154001,0.010000,4173,172,0.13508848,0.80149822,-434,-6000.000,-6000.000,-6000.000,190000,0,0,1,0,1,balance,
0.645648,9164998,0.010997,4187,186,0.14608406,0.83125404,-500,-6001.637,-6000.000,-6000.000,190000,0,0,1,0,1,balance,
0.646342,9174998,0.010000,4200,199,0.15629423,0.85971857,-560,-6000.000,-6000.000,-6000.000,190000,0,0,1,0,1,balance,
0.676015,9184998,0.010000,4213,212,0.16650441,0.88391343,-620,-6000.000,-6000.000,-6000.000,190000,0,0,1,0,1,balance,
0.676141,9194998,0.010000,4226,225,0.17671459,0.90447906,-680,-6000.000,-6000.000,-6000.000,190000,0,0,1,0,1,balance,
