pc_t_s,esp_ts_us,trial_idx,segment_idx,segment_t_s,cycle_idx,phase,encoder_count,theta_counts,theta_rad,position_steps,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,stop_reason
0.029886,70086001,1,0,0.029886,1,move_first,1,-4000,-3.14159265,-72,6000.000,0.000,190000,0,0,1,0,1,
0.060093,70116998,1,0,0.060093,1,move_first,1,-4000,-3.14159265,-17,6000.000,4558.860,190000,0,0,1,0,1,
0.090795,70146998,1,0,0.090795,1,move_first,-3,3996,3.13845106,157,6000.000,6000.000,190000,0,0,1,0,1,
0.121353,70176998,1,0,0.121353,1,move_first,-18,3981,3.12667009,337,6000.000,6000.000,190000,0,0,1,0,1,
0.151989,70214080,1,0,0.151989,1,move_first,-38,3961,3.11096213,560,6000.000,6000.000,190000,0,0,1,0,1,
0.183696,70238998,1,0,0.183696,1,move_first,-50,3949,3.10153735,709,6000.000,6000.000,190000,0,0,1,0,1,
0.214030,70276080,1,0,0.214030,1,move_first,-67,3932,3.08818558,931,6000.000,6000.000,190000,0,0,1,0,1,
0.244871,70300998,1,0,0.244871,1,move_first,-76,3923,3.08111700,1081,6000.000,6000.000,190000,0,0,1,0,1,
0.276680,70330998,1,0,0.276680,1,move_first,-86,3913,3.07326301,1261,6000.000,6000.000,190000,0,0,1,0,1,
0.308303,70366998,1,0,0.308303,1,move_first,-94,3905,3.06697983,1477,6000.000,6000.000,190000,0,0,1,0,1,
0.338933,70400080,1,0,0.338933,1,move_first,-100,3899,3.06226744,1675,6000.000,6000.000,190000,0,0,1,0,1,
0.369569,70424998,1,0,0.369569,1,move_first,-102,3897,3.06069664,1825,6000.000,6000.000,190000,0,0,1,0,1,
0.400016,70462080,1,0,0.400016,1,move_first,-102,3897,3.06069664,2047,6000.000,6000.000,190000,0,0,1,0,1,
0.430534,70486998,1,0,0.430534,1,move_first,-99,3900,3.06305284,2197,6000.000,6000.000,190000,0,0,1,0,1,
0.461061,70516998,1,0,0.461061,1,move_first,-95,3904,3.06619443,2377,6000.000,6000.000,190000,0,0,1,0,1,
0.491510,70548001,1,0,0.491510,1,move_first,-87,3912,3.07247762,2563,6000.000,6000.000,190000,0,0,1,0,1,
0.522071,70578001,1,0,0.522071,1,move_first,-77,3922,3.08033160,2743,6000.000,6000.000,190000,0,0,1,0,1,
0.552620,70608998,1,0,0.552620,1,move_first,-65,3934,3.08975637,2929,6000.000,6000.000,190000,0,0,1,0,1,
0.583111,70638998,1,0,0.583111,1,move_first,-53,3946,3.09918115,3109,6000.000,6000.000,190000,0,0,1,0,1,
0.613513,70670001,1,1,0.000000,1,stop_first,-38,3961,3.11096213,3295,0.000,6000.000,190000,0,0,1,0,1,
0.645239,70700001,1,1,0.031726,1,stop_first,-23,3976,3.12274310,3474,0.000,6000.000,190000,0,0,1,0,1,
0.676778,70736001,1,1,0.063265,1,stop_first,0,3999,3.14080726,3611,0.000,680.760,190000,0,0,1,0,1,
0.707294,70769074,1,1,0.093781,1,stop_first,34,-3967,-3.11567451,3611,0.000,0.000,190000,0,0,1,0,1,
0.738156,70794001,1,1,0.124643,1,stop_first,59,-3942,-3.09603956,3611,0.000,0.000,190000,0,0,1,0,1,
0.768541,70824001,1,1,0.155027,1,stop_first,88,-3913,-3.07326301,3611,0.000,0.000,190000,0,0,1,0,1,
0.799051,70854998,1,1,0.185537,1,stop_first,116,-3885,-3.05127186,3611,0.000,0.000,190000,0,0,1,0,1,
0.829660,70884998,1,1,0.216147,1,stop_first,140,-3861,-3.03242231,3611,0.000,0.000,190000,0,0,1,0,1,
0.859862,70916001,1,1,0.246349,1,stop_first,161,-3840,-3.01592895,3611,0.000,0.000,190000,0,0,1,0,1,
0.890376,70946001,1,1,0.276863,1,stop_first,178,-3823,-3.00257718,3611,0.000,0.000,190000,0,0,1,0,1,
0.920795,70976998,1,1,0.307281,1,stop_first,190,-3811,-2.99315240,3611,0.000,0.000,190000,0,0,1,0,1,
0.952572,71006998,1,1,0.339059,1,stop_first,197,-3804,-2.98765461,3611,0.000,0.000,190000,0,0,1,0,1,
0.983226,71042998,1,1,0.369713,1,stop_first,199,-3802,-2.98608382,3611,0.000,0.000,190000,0,0,1,0,1,
