pc_t_s,esp_ts_us,trial_idx,segment_idx,segment_t_s,cycle_idx,phase,encoder_count,theta_counts,theta_rad,position_steps,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,stop_reason
0.030085,36544998,1,0,0.030085,1,move_first,2,-3999,-3.14080726,-60,6000.000,0.000,190000,0,0,1,0,1,
0.060307,36576998,1,0,0.060307,1,move_first,1,-4000,-3.14159265,-6,6000.000,4558.860,190000,0,0,1,0,1,
0.091009,36606998,1,0,0.091009,1,move_first,1,-4000,-3.14159265,169,6000.000,6000.000,190000,0,0,1,0,1,
0.121427,36636998,1,0,0.121427,1,move_first,-5,3994,3.13688026,349,6000.000,6000.000,190000,0,0,1,0,1,
0.151896,36666998,1,0,0.151896,1,move_first,-19,3980,3.12588469,529,6000.000,6000.000,190000,0,0,1,0,1,
0.182596,36698001,1,0,0.182596,1,move_first,-36,3963,3.11253292,715,6000.000,6000.000,190000,0,0,1,0,1,
0.212900,36728001,1,0,0.212900,1,move_first,-50,3949,3.10153735,895,6000.000,6000.000,190000,0,0,1,0,1,
0.243369,36758998,1,0,0.243369,1,move_first,-63,3936,3.09132717,1080,6000.000,6000.000,190000,0,0,1,0,1,
0.274980,36788998,1,0,0.274980,1,move_first,-75,3924,3.08190239,1260,6000.000,6000.000,190000,0,0,1,0,1,
0.305349,36824998,1,0,0.305349,1,move_first,-86,3913,3.07326301,1476,6000.000,6000.000,190000,0,0,1,0,1,
0.335836,36857074,1,0,0.335836,1,move_first,-94,3905,3.06697983,1669,6000.000,6000.000,190000,0,0,1,0,1,
0.366207,36882001,1,0,0.366207,1,move_first,-97,3902,3.06462363,1818,6000.000,6000.000,190000,0,0,1,0,1,
0.397223,36912001,1,0,0.397223,1,move_first,-100,3899,3.06226744,1998,6000.000,6000.000,190000,0,0,1,0,1,
0.427290,36942998,1,0,0.427290,1,move_first,-100,3899,3.06226744,2184,6000.000,6000.000,190000,0,0,1,0,1,
0.457971,36972998,1,0,0.457971,1,move_first,-97,3902,3.06462363,2364,6000.000,6000.000,190000,0,0,1,0,1,
0.488388,37004001,1,0,0.488388,1,move_first,-92,3907,3.06855062,2550,6000.000,6000.000,190000,0,0,1,0,1,
0.518883,37034001,1,0,0.518883,1,move_first,-85,3914,3.07404841,2730,6000.000,6000.000,190000,0,0,1,0,1,
0.549136,37064998,1,0,0.549136,1,move_first,-75,3924,3.08190239,2916,6000.000,6000.000,190000,0,0,1,0,1,
0.579685,37094998,1,0,0.579685,1,move_first,-64,3935,3.09054177,3096,6000.000,6000.000,190000,0,0,1,0,1,
0.610265,37126001,1,0,0.610265,1,move_first,-51,3948,3.10075195,3282,6000.000,6000.000,190000,0,0,1,0,1,
0.641054,37156001,1,0,0.641054,1,move_first,-38,3961,3.11096213,3462,6000.000,6000.000,190000,0,0,1,0,1,
0.671458,37186998,1,0,0.671458,1,move_first,-22,3977,3.12352850,3648,6000.000,6000.000,190000,0,0,1,0,1,
0.702167,37216998,1,0,0.702167,1,move_first,-7,3992,3.13530947,3828,6000.000,6000.000,190000,0,0,1,0,1,
0.732467,37248001,1,0,0.732467,1,move_first,9,-3992,-3.13530947,4014,6000.000,6000.000,190000,0,0,1,0,1,
0.763216,37278001,1,0,0.763216,1,move_first,25,-3976,-3.12274310,4194,6000.000,6000.000,190000,0,0,1,0,1,
0.793718,37308998,1,0,0.793718,1,move_first,39,-3962,-3.11174752,4380,6000.000,6000.000,190000,0,0,1,0,1,
0.824039,37338998,1,0,0.824039,1,move_first,52,-3949,-3.10153735,4560,6000.000,6000.000,190000,0,0,1,0,1,
0.854671,37370001,1,0,0.854671,1,move_first,65,-3936,-3.09132717,4746,6000.000,6000.000,190000,0,0,1,0,1,
0.885065,37406080,1,0,0.885065,1,move_first,77,-3924,-3.08190239,4962,6000.000,6000.000,190000,0,0,1,0,1,
0.915523,37430998,1,0,0.915523,1,move_first,84,-3917,-3.07640461,5112,6000.000,6000.000,190000,0,0,1,0,1,
0.945985,37460998,1,0,0.945985,1,move_first,90,-3911,-3.07169222,5292,6000.000,6000.000,190000,0,0,1,0,1,
0.976473,37492001,1,0,0.976473,1,move_first,94,-3907,-3.06855062,5478,6000.000,6000.000,190000,0,0,1,0,1,
