pc_t_s,esp_ts_us,trial_idx,segment_idx,segment_t_s,cycle_idx,phase,encoder_count,theta_counts,theta_rad,position_steps,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,stop_reason
0.032264,3503244,1,0,0.032264,1,move_first,-120,3879,3.04655948,0,18000.000,0.000,200000,0,0,1,0,1,
0.063790,3532997,1,0,0.063790,1,move_first,-97,3902,3.06462363,85,18000.000,5700.000,190000,0,0,1,0,1,
0.096346,3567074,1,0,0.096346,1,move_first,-83,3916,3.07561921,389,18000.000,12160.001,190000,0,0,1,0,1,
0.128761,3596997,1,0,0.128761,1,move_first,-101,3898,3.06148204,838,18000.000,17860.002,190000,0,0,1,0,1,
0.160450,3626997,1,0,0.160450,1,move_first,-130,3869,3.03870549,1378,18000.000,18000.000,190000,0,0,1,0,1,
0.192500,3656997,1,0,0.192500,1,move_first,-160,3839,3.01514355,1917,18000.000,18000.000,190000,0,0,1,0,1,
0.224926,3695074,1,0,0.224926,1,move_first,-199,3800,2.98451302,2602,18000.000,18000.000,190000,0,0,1,0,1,
0.257489,3724997,1,0,0.257489,1,move_first,-229,3770,2.96095108,3140,18000.000,18000.000,190000,0,0,1,0,1,
0.290123,3754997,1,0,0.290123,1,move_first,-257,3742,2.93895993,3680,18000.000,18000.000,190000,0,0,1,0,1,
0.322564,3790001,1,0,0.322564,1,move_first,-286,3713,2.91618338,4309,18000.000,18000.000,190000,0,0,1,0,1,
0.354205,3820001,1,0,0.354205,1,move_first,-308,3691,2.89890462,4849,18000.000,18000.000,190000,0,0,1,0,1,
0.385694,3854997,1,0,0.385694,1,move_first,-328,3671,2.88319666,5478,18000.000,18000.000,190000,0,0,1,0,1,
0.417505,3888079,1,0,0.417505,1,move_first,-343,3656,2.87141569,6073,18000.000,18000.000,190000,0,0,1,0,1,
0.448001,3918001,1,0,0.448001,1,move_first,-352,3647,2.86434710,6611,18000.000,18000.000,190000,0,0,1,0,1,
0.480497,3951074,1,0,0.480497,1,move_first,-355,3644,2.86199091,7206,18000.000,18000.000,190000,0,0,1,0,1,
0.511861,3980997,1,0,0.511861,1,move_first,-355,3644,2.86199091,7744,18000.000,18000.000,190000,0,0,1,0,1,
0.542539,4015074,1,0,0.542539,1,move_first,-347,3652,2.86827409,8357,18000.000,18000.000,190000,0,0,1,0,1,
0.573184,4040001,1,0,0.573184,1,move_first,-338,3661,2.87534268,8806,18000.000,18000.000,190000,0,0,1,0,1,
0.604946,4070001,1,1,0.000000,1,stop_first,-324,3675,2.88633825,9345,0.000,18000.000,190000,0,0,1,0,1,
0.635226,4108087,1,1,0.030280,1,stop_first,-300,3699,2.90518781,10030,0.000,17619.051,190000,0,0,1,0,1,
0.666841,4132997,1,1,0.061895,1,stop_first,-278,3721,2.92246657,10414,0.000,13060.000,190000,0,0,1,0,1,
0.697339,4170089,1,1,0.092393,1,stop_first,-223,3776,2.96566346,10768,0.000,5839.430,190000,0,0,1,0,1,
0.729110,4194997,1,1,0.124164,1,stop_first,-172,3827,3.00571877,10859,0.000,1280.000,190000,0,0,1,0,1,
0.760550,4232080,1,1,0.155604,1,stop_first,-82,3917,3.07640461,10864,0.000,0.000,190000,0,0,1,0,1,
0.791463,4262001,1,1,0.186517,1,stop_first,-10,3989,3.13295327,10864,0.000,0.000,190000,0,0,1,0,1,
0.823688,4294080,1,1,0.218742,1,stop_first,63,-3938,-3.09289797,10864,0.000,0.000,190000,0,0,1,0,1,
0.854192,4324001,1,1,0.249246,1,stop_first,126,-3875,-3.04341788,10864,0.000,0.000,190000,0,0,1,0,1,
0.884881,4357074,1,1,0.279935,1,stop_first,186,-3815,-2.99629399,10864,0.000,0.000,190000,0,0,1,0,1,
0.916189,4382001,1,1,0.311243,1,stop_first,225,-3776,-2.96566346,10864,0.000,0.000,190000,0,0,1,0,1,
0.946933,4419074,1,1,0.341987,1,stop_first,271,-3730,-2.92953515,10864,0.000,0.000,190000,0,0,1,0,1,
0.977811,4444001,1,1,0.372865,1,stop_first,293,-3708,-2.91225639,10864,0.000,0.000,190000,0,0,1,0,1,
1.009475,4481074,1,1,0.404529,1,stop_first,311,-3690,-2.89811922,10864,0.000,0.000,190000,0,0,1,0,1,
1.041909,4510997,1,1,0.436963,1,stop_first,314,-3687,-2.89576303,10864,0.000,0.000,190000,0,0,1,0,1,
1.072410,4545074,1,1,0.467464,1,stop_first,302,-3699,-2.90518781,10864,0.000,0.000,190000,0,0,1,0,1,
1.104212,4570001,1,1,0.499265,1,stop_first,285,-3716,-2.91853958,10864,0.000,0.000,190000,0,0,1,0,1,
1.134595,4607076,1,2,0.000000,1,move_second,245,-3756,-2.94995550,10864,-18000.000,0.000,190000,0,0,1,0,1,
1.166208,4632001,1,2,0.031613,1,move_second,210,-3791,-2.97744444,10864,-18000.000,0.000,190000,0,0,1,0,1,
1.196931,4662997,1,2,0.062336,1,move_second,161,-3840,-3.01592895,10800,-18000.000,-4940.000,190000,0,0,1,0,1,
1.227136,4700080,1,2,0.092541,1,move_second,112,-3889,-3.05441346,10486,-18000.000,-12160.570,190000,0,0,1,0,1,
1.258551,4724997,1,2,0.123956,1,move_second,85,-3916,-3.07561921,10129,-18000.000,-16720.000,190000,0,0,1,0,1,
1.288324,4754997,1,2,0.153729,1,move_second,59,-3942,-3.09603956,9594,-18000.000,-18000.000,190000,0,0,1,0,1,
1.320692,4786001,1,2,0.186097,1,move_second,27,-3974,-3.12117230,9036,-18000.000,-18000.000,190000,0,0,1,0,1,
1.351075,4824080,1,2,0.216480,1,move_second,-18,3981,3.12667009,8351,-18000.000,-18000.000,190000,0,0,1,0,1,
1.382719,4849000,1,2,0.248124,1,move_second,-50,3949,3.10153735,7903,-18000.000,-18000.000,190000,0,0,1,0,1,
1.414375,4886080,1,2,0.279780,1,move_second,-101,3898,3.06148204,7236,-18000.000,-18000.000,190000,0,0,1,0,1,
1.444709,4910997,1,2,0.310114,1,move_second,-136,3863,3.03399311,6788,-18000.000,-18000.000,190000,0,0,1,0,1,
1.476175,4948080,1,2,0.341580,1,move_second,-191,3808,2.99079621,6121,-18000.000,-18000.000,190000,0,0,1,0,1,
1.507779,4972997,1,2,0.373184,1,move_second,-226,3773,2.96330727,5673,-18000.000,-18000.000,190000,0,0,1,0,1,
1.538407,5011074,1,2,0.403812,1,move_second,-278,3721,2.92246657,4988,-18000.000,-18000.000,190000,0,0,1,0,1,
1.569957,5036001,1,2,0.435362,1,move_second,-309,3690,2.89811922,4540,-18000.000,-18000.000,190000,0,0,1,0,1,
1.600199,5073074,1,2,0.465604,1,move_second,-351,3648,2.86513250,3873,-18000.000,-18000.000,190000,0,0,1,0,1,
1.630724,5098013,1,2,0.496129,1,move_second,-376,3623,2.84549755,3424,-18000.000,-18000.000,190000,0,0,1,0,1,
1.662494,5128001,1,2,0.527899,1,move_second,-399,3600,2.82743339,2885,-18000.000,-18000.000,190000,0,0,1,0,1,
1.692801,5158997,1,2,0.558206,1,move_second,-418,3581,2.81251082,2327,-18000.000,-18000.000,190000,0,0,1,0,1,
1.723189,5196080,1,2,0.588594,1,move_second,-432,3567,2.80151525,1660,-18000.000,-18000.000,190000,0,0,1,0,1,
1.755795,5220997,1,3,0.000000,1,stop_second,-436,3563,2.79837366,1212,0.000,-18000.000,190000,0,0,1,0,1,
1.786346,5259155,1,3,0.030551,1,stop_second,-431,3568,2.80230065,526,0.000,-18000.000,190000,0,0,1,0,1,
1.818113,5284001,1,3,0.062318,1,stop_second,-426,3573,2.80622764,138,0.000,-13440.000,190000,0,0,1,0,1,
1.848407,5321074,1,3,0.092612,1,stop_second,-428,3571,2.80465684,-223,0.000,-6220.000,190000,0,0,1,0,1,
1.879941,5346001,1,3,0.124146,1,stop_second,-437,3562,2.79758826,-319,0.000,-1660.000,190000,0,0,1,0,1,
1.910379,5383074,1,3,0.154584,1,stop_second,-455,3544,2.78345109,-324,0.000,0.000,190000,0,0,1,0,1,
1.941221,5408001,1,3,0.185426,1,stop_second,-462,3537,2.77795330,-324,0.000,0.000,190000,0,0,1,0,1,
1.971836,5438001,1,3,0.216041,1,stop_second,-465,3534,2.77559711,-324,0.000,0.000,190000,0,0,1,0,1,
2.002238,5468997,1,3,0.246443,1,stop_second,-459,3540,2.78030950,-324,0.000,0.000,190000,0,0,1,0,1,
2.033934,5498997,1,3,0.278139,1,stop_second,-447,3552,2.78973428,-324,0.000,0.000,190000,0,0,1,0,1,
2.064973,5534997,1,3,0.309178,1,stop_second,-423,3576,2.80858383,-324,0.000,0.000,190000,0,0,1,0,1,
2.095371,5568078,1,3,0.339576,1,stop_second,-392,3607,2.83293118,-324,0.000,0.000,190000,0,0,1,0,1,
2.128380,5592997,1,3,0.372585,1,stop_second,-365,3634,2.85413693,-324,0.000,0.000,190000,0,0,1,0,1,
2.159727,5631074,1,3,0.403933,1,stop_second,-317,3682,2.89183604,-324,0.000,0.000,190000,0,0,1,0,1,
2.190195,5660997,1,3,0.434400,1,stop_second,-275,3724,2.92482276,-324,0.000,0.000,190000,0,0,1,0,1,
2.221774,5693074,1,3,0.465980,1,stop_second,-227,3772,2.96252187,-324,0.000,0.000,190000,0,0,1,0,1,
2.252414,5722997,1,3,0.496619,1,stop_second,-180,3819,2.99943559,-324,0.000,0.000,190000,0,0,1,0,1,
2.282826,5755074,1,4,0.000000,2,move_first,-130,3869,3.03870549,-324,18000.000,0.000,190000,0,0,1,0,1,
2.314153,5780001,1,4,0.031327,2,move_first,-92,3907,3.06855062,-324,18000.000,0.000,190000,0,0,1,0,1,
2.344984,5810997,1,4,0.062157,2,move_first,-49,3950,3.10232275,-260,18000.000,4940.000,190000,0,0,1,0,1,
2.375149,5848079,1,4,0.092323,2,move_first,-21,3978,3.12431389,54,18000.000,12160.570,190000,0,0,1,0,1,
2.405681,5872997,1,4,0.122855,2,move_first,-18,3981,3.12667009,411,18000.000,16720.000,190000,0,0,1,0,1,
2.436222,5902997,1,4,0.153396,2,move_first,-29,3970,3.11803071,947,18000.000,18000.000,190000,0,0,1,0,1,
2.468060,5932997,1,4,0.185234,2,move_first,-45,3954,3.10546434,1486,18000.000,18000.000,190000,0,0,1,0,1,
2.499550,5971074,1,4,0.216724,2,move_first,-70,3929,3.08582938,2171,18000.000,18000.000,190000,0,0,1,0,1,
2.529845,6000997,1,4,0.247019,2,move_first,-92,3907,3.06855062,2709,18000.000,18000.000,190000,0,0,1,0,1,
2.560396,6033074,1,4,0.277570,2,move_first,-117,3882,3.04891567,3286,18000.000,18000.000,190000,0,0,1,0,1,
2.590883,6058001,1,4,0.308057,2,move_first,-137,3862,3.03320771,3734,18000.000,18000.000,190000,0,0,1,0,1,
2.621436,6088001,1,4,0.338610,2,move_first,-162,3837,3.01357275,4274,18000.000,18000.000,190000,0,0,1,0,1,
2.652194,6118997,1,4,0.369368,2,move_first,-189,3810,2.99236700,4831,18000.000,18000.000,190000,0,0,1,0,1,
2.682719,6148997,1,4,0.399893,2,move_first,-213,3786,2.97351745,5371,18000.000,18000.000,190000,0,0,1,0,1,
2.713240,6180001,1,4,0.430414,2,move_first,-236,3763,2.95545329,5929,18000.000,18000.000,190000,0,0,1,0,1,
2.743542,6210001,1,4,0.460716,2,move_first,-258,3741,2.93817453,6468,18000.000,18000.000,190000,0,0,1,0,1,
2.774045,6240997,1,4,0.491219,2,move_first,-277,3722,2.92325196,7026,18000.000,18000.000,190000,0,0,1,0,1,
2.804680,6270997,1,4,0.521854,2,move_first,-292,3707,2.91147099,7565,18000.000,18000.000,190000,0,0,1,0,1,
2.836454,6302001,1,4,0.553628,2,move_first,-306,3693,2.90047542,8123,18000.000,18000.000,190000,0,0,1,0,1,
2.866751,6339074,1,4,0.583925,2,move_first,-316,3683,2.89262144,8790,18000.000,18000.000,190000,0,0,1,0,1,
2.897618,6364001,1,5,0.000000,2,stop_first,-320,3679,2.88947984,9238,0.000,18000.000,190000,0,0,1,0,1,
2.929138,6401155,1,5,0.031520,2,stop_first,-321,3678,2.88869444,9906,0.000,18000.000,190000,0,0,1,0,1,
2.959502,6426001,1,5,0.061884,2,stop_first,-315,3684,2.89340683,10294,0.000,13440.000,190000,0,0,1,0,1,
2.989888,6462084,1,5,0.092270,2,stop_first,-284,3715,2.91775418,10649,0.000,6219.240,190000,0,0,1,0,1,
3.021027,6486997,1,5,0.123409,2,stop_first,-248,3751,2.94602851,10749,0.000,1660.000,190000,0,0,1,0,1,
3.052649,6524080,1,5,0.155031,2,stop_first,-177,3822,3.00179178,10757,0.000,0.000,190000,0,0,1,0,1,
3.083358,6554001,1,5,0.185740,2,stop_first,-117,3882,3.04891567,10757,0.000,0.000,190000,0,0,1,0,1,
3.114107,6586080,1,5,0.216489,2,stop_first,-54,3945,3.09839575,10757,0.000,0.000,190000,0,0,1,0,1,
3.144547,6610997,1,5,0.246929,2,stop_first,-7,3992,3.13530947,10757,0.000,0.000,190000,0,0,1,0,1,
3.174948,6647074,1,5,0.277330,2,stop_first,56,-3945,-3.09839575,10757,0.000,0.000,190000,0,0,1,0,1,
3.205447,6672001,1,5,0.307829,2,stop_first,95,-3906,-3.06776523,10757,0.000,0.000,190000,0,0,1,0,1,
3.236229,6708083,1,5,0.338611,2,stop_first,144,-3857,-3.02928072,10757,0.000,0.000,190000,0,0,1,0,1,
3.269157,6732997,1,5,0.371539,2,stop_first,171,-3830,-3.00807497,10757,0.000,0.000,190000,0,0,1,0,1,
3.299706,6772080,1,5,0.402088,2,stop_first,202,-3799,-2.98372762,10757,0.000,0.000,190000,0,0,1,0,1,
3.330102,6796997,1,5,0.432484,2,stop_first,215,-3786,-2.97351745,10757,0.000,0.000,190000,0,0,1,0,1,
3.360609,6826997,1,5,0.462991,2,stop_first,221,-3780,-2.96880506,10757,0.000,0.000,190000,0,0,1,0,1,
3.390894,6858001,1,5,0.493276,2,stop_first,218,-3783,-2.97116125,10757,0.000,0.000,190000,0,0,1,0,1,
3.421670,6888001,1,6,0.000000,2,move_second,206,-3795,-2.98058603,10757,-18000.000,0.000,190000,0,0,1,0,1,
3.451963,6918997,1,6,0.030293,2,move_second,184,-3817,-2.99786479,10757,-18000.000,0.000,190000,0,0,1,0,1,
3.482444,6950001,1,6,0.060774,2,move_second,156,-3845,-3.01985594,10697,-18000.000,-4560.000,190000,0,0,1,0,1,
3.513189,6980001,1,6,0.091519,2,move_second,135,-3866,-3.03634930,10470,-18000.000,-10260.001,190000,0,0,1,0,1,
3.543526,7010001,1,6,0.121857,2,move_second,121,-3880,-3.04734487,10071,-18000.000,-15960.001,190000,0,0,1,0,1,
3.574347,7046079,1,6,0.152677,2,move_second,112,-3889,-3.05441346,9431,-18000.000,-18000.000,190000,0,0,1,0,1,
3.604506,7070997,1,6,0.182836,2,move_second,101,-3900,-3.06305284,8983,-18000.000,-18000.000,190000,0,0,1,0,1,
3.634939,7107074,1,6,0.213269,2,move_second,78,-3923,-3.08111700,8334,-18000.000,-18000.000,190000,0,0,1,0,1,
3.665676,7132001,1,6,0.244006,2,move_second,57,-3944,-3.09761036,7886,-18000.000,-18000.000,190000,0,0,1,0,1,
3.695866,7168079,1,6,0.274197,2,move_second,22,-3979,-3.12509929,7237,-18000.000,-18000.000,190000,0,0,1,0,1,
3.727582,7192997,1,6,0.305912,2,move_second,-7,3992,3.13530947,6789,-18000.000,-18000.000,190000,0,0,1,0,1,
3.758316,7230080,1,6,0.336646,2,move_second,-55,3944,3.09761036,6122,-18000.000,-18000.000,190000,0,0,1,0,1,
3.788617,7254999,1,6,0.366947,2,move_second,-89,3910,3.07090682,5674,-18000.000,-18000.000,190000,0,0,1,0,1,
3.819037,7291074,1,6,0.397367,2,move_second,-140,3859,3.03085151,5025,-18000.000,-18000.000,190000,0,0,1,0,1,
3.849613,7316001,1,6,0.427943,2,move_second,-176,3823,3.00257718,4576,-18000.000,-18000.000,190000,0,0,1,0,1,
3.880144,7352080,1,6,0.458474,2,move_second,-227,3772,2.96252187,3927,-18000.000,-18000.000,190000,0,0,1,0,1,
3.910745,7377001,1,6,0.489075,2,move_second,-262,3737,2.93503294,3479,-18000.000,-18000.000,190000,0,0,1,0,1,
3.941361,7414085,1,6,0.519691,2,move_second,-308,3691,2.89890462,2812,-18000.000,-18000.000,190000,0,0,1,0,1,
3.972011,7438997,1,6,0.550341,2,move_second,-337,3662,2.87612807,2364,-18000.000,-18000.000,190000,0,0,1,0,1,
4.004574,7468997,1,6,0.582904,2,move_second,-367,3632,2.85256613,1825,-18000.000,-18000.000,190000,0,0,1,0,1,
4.034676,7504997,1,7,0.000000,2,stop_second,-398,3601,2.82821879,1177,0.000,-18000.000,190000,0,0,1,0,1,
