pc_t_s,esp_ts_us,trial_idx,segment_idx,segment_t_s,cycle_idx,phase,encoder_count,theta_counts,theta_rad,position_steps,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,stop_reason
0.029886,3118001,1,0,0.029886,1,move_first,0,3999,3.14080726,0,8000.000,0.000,200000,0,0,1,0,1,
0.061824,3148998,1,0,0.061824,1,move_first,0,3999,3.14080726,54,8000.000,4559.050,190000,0,0,1,0,1,
0.092237,3186079,1,0,0.092237,1,move_first,-6,3993,3.13609487,319,8000.000,8000.000,190000,0,0,1,0,1,
0.122828,3210998,1,0,0.122828,1,move_first,-24,3975,3.12195770,519,8000.000,8000.000,190000,0,0,1,0,1,
0.153253,3240998,1,0,0.153253,1,move_first,-46,3953,3.10467894,759,8000.000,8000.000,190000,0,0,1,0,1,
0.184082,3272001,1,0,0.184082,1,move_first,-65,3934,3.08975637,1007,8000.000,8000.000,190000,0,0,1,0,1,
0.214598,3302001,1,0,0.214598,1,move_first,-83,3916,3.07561921,1247,8000.000,8000.000,190000,0,0,1,0,1,
0.245008,3332998,1,0,0.245008,1,move_first,-99,3900,3.06305284,1495,8000.000,8000.000,190000,0,0,1,0,1,
0.275651,3362998,1,0,0.275651,1,move_first,-112,3887,3.05284266,1735,8000.000,8000.000,190000,0,0,1,0,1,
0.306286,3394001,1,0,0.306286,1,move_first,-122,3877,3.04498868,1983,8000.000,8000.000,190000,0,0,1,0,1,
0.336933,3430085,1,0,0.336933,1,move_first,-130,3869,3.03870549,2271,8000.000,8000.000,190000,0,0,1,0,1,
0.367581,3454998,1,0,0.367581,1,move_first,-132,3867,3.03713470,2471,8000.000,8000.000,190000,0,0,1,0,1,
0.397869,3492080,1,0,0.397869,1,move_first,-132,3867,3.03713470,2767,8000.000,8000.000,190000,0,0,1,0,1,
0.428496,3516998,1,0,0.428496,1,move_first,-129,3870,3.03949089,2967,8000.000,8000.000,190000,0,0,1,0,1,
0.459103,3546998,1,0,0.459103,1,move_first,-123,3876,3.04420328,3207,8000.000,8000.000,190000,0,0,1,0,1,
0.489708,3576998,1,0,0.489708,1,move_first,-114,3885,3.05127186,3447,8000.000,8000.000,190000,0,0,1,0,1,
0.520213,3614080,1,0,0.520213,1,move_first,-98,3901,3.06383824,3743,8000.000,8000.000,190000,0,0,1,0,1,
0.551127,3638998,1,0,0.551127,1,move_first,-86,3913,3.07326301,3943,8000.000,8000.000,190000,0,0,1,0,1,
0.581558,3668998,1,0,0.581558,1,move_first,-69,3930,3.08661478,4183,8000.000,8000.000,190000,0,0,1,0,1,
0.612282,3700001,1,1,0.000000,1,stop_first,-50,3949,3.10153735,4431,0.000,8000.000,190000,0,0,1,0,1,
0.642774,3737155,1,1,0.030492,1,stop_first,-26,3973,3.12038690,4728,0.000,8000.000,190000,0,0,1,0,1,
0.674699,3762001,1,1,0.062417,1,stop_first,-5,3994,3.13688026,4868,0.000,3440.000,190000,0,0,1,0,1,
0.704919,3799074,1,1,0.092637,1,stop_first,41,-3960,-3.11017673,4896,0.000,0.000,190000,0,0,1,0,1,
0.737873,3824001,1,1,0.125591,1,stop_first,75,-3926,-3.08347319,4896,0.000,0.000,190000,0,0,1,0,1,
0.768191,3862080,1,1,0.155910,1,stop_first,124,-3877,-3.04498868,4896,0.000,0.000,190000,0,0,1,0,1,
0.799904,3886998,1,1,0.187623,1,stop_first,153,-3848,-3.02221213,4896,0.000,0.000,190000,0,0,1,0,1,
0.832552,3924080,1,1,0.220270,1,stop_first,192,-3809,-2.99158160,4896,0.000,0.000,190000,0,0,1,0,1,
0.863303,3954001,1,1,0.251021,1,stop_first,218,-3783,-2.97116125,4896,0.000,0.000,190000,0,0,1,0,1,
0.893990,3987074,1,1,0.281708,1,stop_first,241,-3760,-2.95309709,4896,0.000,0.000,190000,0,0,1,0,1,
0.925590,4012001,1,1,0.313309,1,stop_first,253,-3748,-2.94367232,4896,0.000,0.000,190000,0,0,1,0,1,
0.956116,4050080,1,1,0.343834,1,stop_first,264,-3737,-2.93503294,4896,0.000,0.000,190000,0,0,1,0,1,
0.986713,4074998,1,1,0.374431,1,stop_first,266,-3735,-2.93346214,4896,0.000,0.000,190000,0,0,1,0,1,
1.017229,4104998,1,1,0.404947,1,stop_first,261,-3740,-2.93738913,4896,0.000,0.000,190000,0,0,1,0,1,
1.047817,4136001,1,1,0.435536,1,stop_first,250,-3751,-2.94602851,4896,0.000,0.000,190000,0,0,1,0,1,
1.078581,4166001,1,1,0.466299,1,stop_first,233,-3768,-2.95938028,4896,0.000,0.000,190000,0,0,1,0,1,
1.109142,4196998,1,1,0.496860,1,stop_first,210,-3791,-2.97744444,4896,0.000,0.000,190000,0,0,1,0,1,
1.139545,4226998,1,2,0.000000,1,move_second,182,-3819,-2.99943559,4896,-8000.000,0.000,190000,0,0,1,0,1,
1.170344,4258001,1,2,0.030799,1,move_second,149,-3852,-3.02535373,4896,-8000.000,0.000,190000,0,0,1,0,1,
1.200979,4288998,1,2,0.061434,1,move_second,115,-3886,-3.05205726,4832,-8000.000,-4940.000,190000,0,0,1,0,1,
1.231412,4318998,1,2,0.091867,1,move_second,93,-3908,-3.06933602,4616,-8000.000,-8000.000,190000,0,0,1,0,1,
1.262089,4350001,1,2,0.122544,1,move_second,73,-3928,-3.08504399,4368,-8000.000,-8000.000,190000,0,0,1,0,1,
1.292610,4380001,1,2,0.153065,1,move_second,52,-3949,-3.10153735,4128,-8000.000,-8000.000,190000,0,0,1,0,1,
1.323325,4410998,1,2,0.183780,1,move_second,28,-3973,-3.12038690,3880,-8000.000,-8000.000,190000,0,0,1,0,1,
1.353618,4440998,1,2,0.214073,1,move_second,5,-3996,-3.13845106,3640,-8000.000,-8000.000,190000,0,0,1,0,1,
1.384449,4472001,1,2,0.244903,1,move_second,-20,3979,3.12509929,3392,-8000.000,-8000.000,190000,0,0,1,0,1,
1.415994,4508080,1,2,0.276449,1,move_second,-47,3952,3.10389354,3104,-8000.000,-8000.000,190000,0,0,1,0,1,
1.446577,4538001,1,2,0.307032,1,move_second,-68,3931,3.08740018,2864,-8000.000,-8000.000,190000,0,0,1,0,1,
1.477213,4571074,1,2,0.337667,1,move_second,-90,3909,3.07012142,2600,-8000.000,-8000.000,190000,0,0,1,0,1,
1.507768,4596001,1,2,0.368222,1,move_second,-104,3895,3.05912585,2400,-8000.000,-8000.000,190000,0,0,1,0,1,
1.538032,4626001,1,2,0.398487,1,move_second,-119,3880,3.04734487,2160,-8000.000,-8000.000,190000,0,0,1,0,1,
1.568770,4656998,1,2,0.429225,1,move_second,-132,3867,3.03713470,1912,-8000.000,-8000.000,190000,0,0,1,0,1,
1.599273,4686998,1,2,0.459728,1,move_second,-140,3859,3.03085151,1672,-8000.000,-8000.000,190000,0,0,1,0,1,
1.631950,4718001,1,2,0.492405,1,move_second,-145,3854,3.02692452,1424,-8000.000,-8000.000,190000,0,0,1,0,1,
1.662737,4756080,1,2,0.523192,1,move_second,-147,3852,3.02535373,1120,-8000.000,-8000.000,190000,0,0,1,0,1,
1.693685,4780998,1,2,0.554140,1,move_second,-144,3855,3.02770992,920,-8000.000,-8000.000,190000,0,0,1,0,1,
1.724242,4818080,1,2,0.584697,1,move_second,-136,3863,3.03399311,624,-8000.000,-8000.000,190000,0,0,1,0,1,
1.756011,4842998,1,3,0.000000,1,stop_second,-128,3871,3.04027629,424,0.000,-8000.000,190000,0,0,1,0,1,
1.786591,4880160,1,3,0.030580,1,stop_second,-111,3888,3.05362806,127,0.000,-8000.000,190000,0,0,1,0,1,
1.817379,4904998,1,3,0.061368,1,stop_second,-101,3898,3.06148204,-17,0.000,-3440.570,190000,0,0,1,0,1,
1.847704,4941074,1,3,0.091693,1,stop_second,-98,3901,3.06383824,-49,0.000,0.000,190000,0,0,1,0,1,
1.878319,4966001,1,3,0.122308,1,stop_second,-98,3901,3.06383824,-49,0.000,0.000,190000,0,0,1,0,1,
1.909091,5002080,1,3,0.153079,1,stop_second,-96,3903,3.06540903,-49,0.000,0.000,190000,0,0,1,0,1,
1.939947,5026998,1,3,0.183936,1,stop_second,-92,3907,3.06855062,-49,0.000,0.000,190000,0,0,1,0,1,
1.970553,5064080,1,3,0.214542,1,stop_second,-83,3916,3.07561921,-49,0.000,0.000,190000,0,0,1,0,1,
2.001039,5088998,1,3,0.245028,1,stop_second,-76,3923,3.08111700,-49,0.000,0.000,190000,0,0,1,0,1,
2.031744,5118998,1,3,0.275733,1,stop_second,-65,3934,3.08975637,-49,0.000,0.000,190000,0,0,1,0,1,
2.062620,5150001,1,3,0.306609,1,stop_second,-52,3947,3.09996655,-49,0.000,0.000,190000,0,0,1,0,1,
2.092949,5187074,1,3,0.336938,1,stop_second,-36,3963,3.11253292,-49,0.000,0.000,190000,0,0,1,0,1,
