pc_t_s,esp_ts_us,trial_idx,segment_idx,segment_t_s,cycle_idx,phase,encoder_count,theta_counts,theta_rad,position_steps,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,stop_reason
0.029994,2854001,1,0,0.029994,1,move_first,-555,3444,2.70491127,0,18000.000,0.000,200000,0,0,1,0,1,
0.060542,2884998,1,0,0.060542,1,move_first,-588,3411,2.67899314,54,18000.000,4559.050,190000,0,0,1,0,1,
0.091349,2914998,1,0,0.091349,1,move_first,-612,3387,2.66014358,276,18000.000,10259.051,190000,0,0,1,0,1,
0.121902,2946001,1,0,0.121902,1,move_first,-658,3341,2.62401526,685,18000.000,15959.052,190000,0,0,1,0,1,
0.152707,2976001,1,0,0.152707,1,move_first,-710,3289,2.58317456,1216,18000.000,18000.000,190000,0,0,1,0,1,
0.184287,3006998,1,0,0.184287,1,move_first,-757,3242,2.54626085,1773,18000.000,18000.000,190000,0,0,1,0,1,
0.215036,3044080,1,1,0.000000,1,stop_first,-798,3201,2.51405952,2440,0.000,18000.000,190000,0,0,1,0,1,
0.245678,3075079,1,1,0.030643,1,stop_first,-818,3181,2.49835156,2998,0.000,18000.000,190000,0,0,1,0,1,
0.276316,3100001,1,1,0.061280,1,stop_first,-823,3176,2.49442457,3387,0.000,13440.000,190000,0,0,1,0,1,
0.306798,3136080,1,1,0.091762,1,stop_first,-799,3200,2.51327412,3742,0.000,6219.240,190000,0,0,1,0,1,
0.337394,3160998,1,1,0.122358,1,stop_first,-761,3238,2.54311925,3842,0.000,1660.000,190000,0,0,1,0,1,
0.367914,3197074,1,1,0.152878,1,stop_first,-679,3320,2.60752190,3849,0.000,0.000,190000,0,0,1,0,1,
0.398586,3222001,1,1,0.183550,1,stop_first,-613,3386,2.65935818,3849,0.000,0.000,190000,0,0,1,0,1,
0.429325,3259074,1,1,0.214289,1,stop_first,-507,3492,2.74261039,3849,0.000,0.000,190000,0,0,1,0,1,
0.460079,3284001,1,1,0.245043,1,stop_first,-431,3568,2.80230065,3849,0.000,0.000,190000,0,0,1,0,1,
0.490544,3314001,1,1,0.275508,1,stop_first,-338,3661,2.87534268,3849,0.000,0.000,190000,0,0,1,0,1,
0.520945,3344998,1,1,0.305909,1,stop_first,-241,3758,2.95152630,3849,0.000,0.000,190000,0,0,1,0,1,
0.552639,3374998,1,1,0.337603,1,stop_first,-149,3850,3.02378293,3849,0.000,0.000,190000,0,0,1,0,1,
0.583181,3410998,1,1,0.368145,1,stop_first,-45,3954,3.10546434,3849,0.000,0.000,190000,0,0,1,0,1,
0.613553,3443074,1,1,0.398517,1,stop_first,40,-3961,-3.11096213,3849,0.000,0.000,190000,0,0,1,0,1,
0.644159,3468001,1,1,0.429123,1,stop_first,100,-3901,-3.06383824,3849,0.000,0.000,190000,0,0,1,0,1,
0.674523,3504080,1,1,0.459487,1,stop_first,173,-3828,-3.00650417,3849,0.000,0.000,190000,0,0,1,0,1,
0.705085,3528998,1,1,0.490050,1,stop_first,214,-3787,-2.97430284,3849,0.000,0.000,190000,0,0,1,0,1,
0.735563,3565074,1,2,0.000000,1,move_second,257,-3744,-2.94053072,3849,-18000.000,0.000,190000,0,0,1,0,1,
0.766141,3590001,1,2,0.030577,1,move_second,276,-3725,-2.92560816,3849,-18000.000,0.000,190000,0,0,1,0,1,
0.796637,3620998,1,2,0.061073,1,move_second,288,-3713,-2.91618338,3785,-18000.000,-4940.000,190000,0,0,1,0,1,
0.827272,3650998,1,2,0.091708,1,move_second,299,-3702,-2.90754400,3552,-18000.000,-10640.000,190000,0,0,1,0,1,
0.858022,3682001,1,2,0.122459,1,move_second,307,-3694,-2.90126082,3132,-18000.000,-16340.000,190000,0,0,1,0,1,
0.888605,3712001,1,2,0.153041,1,move_second,313,-3688,-2.89654843,2598,-18000.000,-18000.000,190000,0,0,1,0,1,
0.919011,3742998,1,2,0.183447,1,move_second,305,-3696,-2.90283161,2040,-18000.000,-18000.000,190000,0,0,1,0,1,
0.949591,3772998,1,3,0.000000,1,stop_second,282,-3719,-2.92089577,1501,0.000,-18000.000,190000,0,0,1,0,1,
0.980148,3804001,1,3,0.030557,1,stop_second,244,-3757,-2.95074090,943,0.000,-18000.000,190000,0,0,1,0,1,
1.010831,3834998,1,3,0.061240,1,stop_second,189,-3812,-2.99393780,449,0.000,-13059.810,190000,0,0,1,0,1,
1.041487,3864998,1,3,0.091896,1,stop_second,111,-3890,-3.05519886,143,0.000,-7360.000,190000,0,0,1,0,1,
1.072013,3896001,1,3,0.122422,1,stop_second,3,-3998,-3.14002186,6,0.000,-1660.000,190000,0,0,1,0,1,
1.102645,3926012,1,3,0.153054,1,stop_second,-120,3879,3.04655948,0,0.000,0.000,190000,0,0,1,0,1,
1.133157,3956998,1,3,0.183566,1,stop_second,-254,3745,2.94131612,0,0.000,0.000,190000,0,0,1,0,1,
