pc_t_s,esp_ts_us,trial_idx,segment_idx,segment_t_s,cycle_idx,phase,encoder_count,theta_counts,theta_rad,position_steps,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,stop_reason
0.029822,9186998,1,0,0.029822,1,move_first,85,-3916,-3.07561921,0,6000.000,0.000,200000,0,0,1,0,1,
0.060426,9218001,1,0,0.060426,1,move_first,90,-3911,-3.07169222,59,6000.000,4560.000,190000,0,0,1,0,1,
0.090952,9248001,1,0,0.090952,1,move_first,94,-3907,-3.06855062,234,6000.000,6000.000,190000,0,0,1,0,1,
0.121578,9278001,1,0,0.121578,1,move_first,88,-3913,-3.07326301,414,6000.000,6000.000,190000,0,0,1,0,1,
0.152014,9315074,1,0,0.152014,1,move_first,70,-3931,-3.08740018,637,6000.000,6000.000,190000,0,0,1,0,1,
0.182536,9340004,1,0,0.182536,1,move_first,56,-3945,-3.09839575,786,6000.000,6000.000,190000,0,0,1,0,0,start_off
