pc_t_s,esp_ts_us,trial_idx,segment_idx,segment_t_s,cycle_idx,phase,encoder_count,theta_counts,theta_rad,position_steps,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,stop_reason
0.029649,71788001,1,0,0.029649,1,move_first,0,3999,3.14080726,400,2000.000,0.000,190000,0,0,1,0,1,
0.060302,71818998,1,0,0.060302,1,move_first,0,3999,3.14080726,437,2000.000,2000.000,190000,0,0,1,0,1,
0.091036,71848998,1,0,0.091036,1,move_first,0,3999,3.14080726,497,2000.000,2000.000,190000,0,0,1,0,1,
0.121483,71878998,1,0,0.121483,1,move_first,-4,3995,3.13766566,557,2000.000,2000.000,190000,0,0,1,0,1,
0.151863,71908998,1,0,0.151863,1,move_first,-9,3990,3.13373867,617,2000.000,2000.000,190000,0,0,1,0,1,
0.182608,71944001,1,0,0.182608,1,move_first,-15,3984,3.12902628,687,2000.000,2000.000,190000,0,0,1,0,1,
0.212852,71974001,1,1,0.000000,1,stop_first,-19,3980,3.12588469,747,0.000,2000.000,190000,0,0,1,0,1,
0.243714,72007079,1,1,0.030862,1,stop_first,-23,3976,3.12274310,807,0.000,480.000,190000,0,0,1,0,1,
0.274041,72032001,1,1,0.061189,1,stop_first,-23,3976,3.12274310,808,0.000,0.000,190000,0,0,1,0,1,
0.304700,72062001,1,1,0.091848,1,stop_first,-20,3979,3.12509929,808,0.000,0.000,190000,0,0,1,0,1,
0.335164,72092001,1,1,0.122312,1,stop_first,-17,3982,3.12745549,808,0.000,0.000,190000,0,0,1,0,1,
0.365353,72126998,1,1,0.152501,1,stop_first,-13,3986,3.13059708,808,0.000,0.000,190000,0,0,1,0,1,
0.395900,72156998,1,1,0.183048,1,stop_first,-9,3990,3.13373867,808,0.000,0.000,190000,0,0,1,0,1,
0.426371,72186998,1,1,0.213519,1,stop_first,-5,3994,3.13688026,808,0.000,0.000,190000,0,0,1,0,1,
0.456872,72216998,1,1,0.244020,1,stop_first,-1,3998,3.14002186,808,0.000,0.000,190000,0,0,1,0,1,
0.487583,72246998,1,1,0.274731,1,stop_first,4,-3997,-3.13923646,808,0.000,0.000,190000,0,0,1,0,1,
0.518025,72276998,1,1,0.305173,1,stop_first,8,-3993,-3.13609487,808,0.000,0.000,190000,0,0,1,0,1,
0.548497,72306998,1,1,0.335645,1,stop_first,11,-3990,-3.13373867,808,0.000,0.000,190000,0,0,1,0,1,
0.578962,72336998,1,1,0.366109,1,stop_first,15,-3986,-3.13059708,808,0.000,0.000,190000,0,0,1,0,1,
0.609444,72366998,1,1,0.396592,1,stop_first,17,-3984,-3.12902628,808,0.000,0.000,190000,0,0,1,0,1,
0.639911,72396998,1,1,0.427059,1,stop_first,20,-3981,-3.12667009,808,0.000,0.000,190000,0,0,1,0,1,
0.670411,72432001,1,1,0.457558,1,stop_first,22,-3979,-3.12509929,808,0.000,0.000,190000,0,0,1,0,1,
0.700916,72462001,1,1,0.488064,1,stop_first,23,-3978,-3.12431389,808,0.000,0.000,190000,0,0,1,0,1,
0.731228,72492001,1,1,0.518375,1,stop_first,24,-3977,-3.12352850,808,0.000,0.000,190000,0,0,1,0,1,
0.761861,72522001,1,1,0.549009,1,stop_first,24,-3977,-3.12352850,808,0.000,0.000,190000,0,0,1,0,1,
0.792159,72552001,1,1,0.579307,1,stop_first,23,-3978,-3.12431389,808,0.000,0.000,190000,0,0,1,0,1,
0.822624,72582001,1,1,0.609772,1,stop_first,22,-3979,-3.12509929,808,0.000,0.000,190000,0,0,1,0,1,
0.854445,72612001,1,1,0.641592,1,stop_first,20,-3981,-3.12667009,808,0.000,0.000,190000,0,0,1,0,1,
0.884669,72642001,1,1,0.671817,1,stop_first,18,-3983,-3.12824088,808,0.000,0.000,190000,0,0,1,0,1,
0.915109,72676998,1,1,0.702256,1,stop_first,15,-3986,-3.13059708,808,0.000,0.000,190000,0,0,1,0,1,
0.945838,72706998,1,1,0.732985,1,stop_first,11,-3990,-3.13373867,808,0.000,0.000,190000,0,0,1,0,1,
0.976301,72736998,1,1,0.763449,1,stop_first,8,-3993,-3.13609487,808,0.000,0.000,190000,0,0,1,0,1,
1.006910,72766998,1,1,0.794058,1,stop_first,5,-3996,-3.13845106,808,0.000,0.000,190000,0,0,1,0,1,
1.038532,72796998,1,1,0.825680,1,stop_first,1,-4000,-3.14159265,808,0.000,0.000,190000,0,0,1,0,1,
1.070032,72826998,1,1,0.857180,1,stop_first,-2,3997,3.13923646,808,0.000,0.000,190000,0,0,1,0,1,
1.100657,72862001,1,1,0.887805,1,stop_first,-6,3993,3.13609487,808,0.000,0.000,190000,0,0,1,0,1,
1.132141,72892001,1,1,0.919289,1,stop_first,-9,3990,3.13373867,808,0.000,0.000,190000,0,0,1,0,1,
