pc_t_s,esp_ts_us,trial_idx,segment_idx,segment_t_s,cycle_idx,phase,encoder_count,theta_counts,theta_rad,position_steps,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,stop_reason
0.030096,9558001,1,0,0.030096,1,move_first,0,3999,3.14080726,0,2000.000,0.000,200000,0,0,1,0,1,
0.061420,9588997,1,0,0.061420,1,move_first,0,3999,3.14080726,37,2000.000,2000.000,190000,0,0,1,0,1,
0.091940,9618997,1,0,0.091940,1,move_first,0,3999,3.14080726,97,2000.000,2000.000,190000,0,0,1,0,1,
0.123068,9654001,1,0,0.123068,1,move_first,-6,3993,3.13609487,167,2000.000,2000.000,190000,0,0,1,0,1,
0.153525,9684001,1,0,0.153525,1,move_first,-10,3989,3.13295327,227,2000.000,2000.000,190000,0,0,1,0,1,
0.184062,9714001,1,0,0.184062,1,move_first,-15,3984,3.12902628,287,2000.000,2000.000,190000,0,0,1,0,1,
0.214266,9744001,1,1,0.000000,1,stop_first,-19,3980,3.12588469,347,0.000,2000.000,190000,0,0,1,0,1,
0.244818,9778087,1,1,0.030552,1,stop_first,-24,3975,3.12195770,407,0.000,99.050,190000,0,0,1,0,1,
0.275350,9802997,1,1,0.061084,1,stop_first,-23,3976,3.12274310,408,0.000,0.000,190000,0,0,1,0,1,
0.306081,9832998,1,1,0.091815,1,stop_first,-20,3979,3.12509929,408,0.000,0.000,190000,0,0,1,0,1,
0.337273,9868001,1,1,0.123007,1,stop_first,-16,3983,3.12824088,408,0.000,0.000,190000,0,0,1,0,1,
0.368010,9898001,1,1,0.153743,1,stop_first,-13,3986,3.13059708,408,0.000,0.000,190000,0,0,1,0,1,
0.398470,9928001,1,1,0.184204,1,stop_first,-9,3990,3.13373867,408,0.000,0.000,190000,0,0,1,0,1,
0.428741,9958001,1,1,0.214474,1,stop_first,-5,3994,3.13688026,408,0.000,0.000,190000,0,0,1,0,1,
0.459226,9988001,1,1,0.244960,1,stop_first,-1,3998,3.14002186,408,0.000,0.000,190000,0,0,1,0,1,
0.489782,10018001,1,1,0.275516,1,stop_first,3,-3998,-3.14002186,408,0.000,0.000,190000,0,0,1,0,1,
0.520284,10048001,1,1,0.306018,1,stop_first,7,-3994,-3.13688026,408,0.000,0.000,190000,0,0,1,0,1,
0.551064,10078001,1,1,0.336797,1,stop_first,10,-3991,-3.13452407,408,0.000,0.000,190000,0,0,1,0,1,
0.581488,10112997,1,1,0.367222,1,stop_first,14,-3987,-3.13138248,408,0.000,0.000,190000,0,0,1,0,1,
0.611973,10142997,1,1,0.397707,1,stop_first,17,-3984,-3.12902628,408,0.000,0.000,190000,0,0,1,0,1,
0.642300,10172997,1,1,0.428034,1,stop_first,19,-3982,-3.12745549,408,0.000,0.000,190000,0,0,1,0,1,
0.673091,10202997,1,1,0.458825,1,stop_first,20,-3981,-3.12667009,408,0.000,0.000,190000,0,0,1,0,1,
0.703468,10232997,1,1,0.489202,1,stop_first,21,-3980,-3.12588469,408,0.000,0.000,190000,0,0,1,0,1,
0.733774,10262997,1,2,0.000000,1,move_second,21,-3980,-3.12588469,408,-2000.000,0.000,190000,0,0,1,0,1,
0.764281,10292997,1,2,0.030507,1,move_second,21,-3980,-3.12588469,408,-2000.000,0.000,190000,0,0,1,0,1,
0.795023,10322997,1,2,0.061249,1,move_second,23,-3978,-3.12431389,367,-2000.000,-2000.000,190000,0,0,1,0,1,
0.825510,10352997,1,2,0.091735,1,move_second,27,-3974,-3.12117230,307,-2000.000,-2000.000,190000,0,0,1,0,1,
0.856123,10382997,1,2,0.122349,1,move_second,30,-3971,-3.11881611,247,-2000.000,-2000.000,190000,0,0,1,0,1,
0.886546,10418001,1,2,0.152771,1,move_second,32,-3969,-3.11724531,177,-2000.000,-2000.000,190000,0,0,1,0,1,
0.917091,10448001,1,2,0.183317,1,move_second,34,-3967,-3.11567451,117,-2000.000,-2000.000,190000,0,0,1,0,1,
0.947378,10478001,1,3,0.000000,1,stop_second,34,-3967,-3.11567451,57,0.000,-2000.000,190000,0,0,1,0,1,
0.977873,10511079,1,3,0.030495,1,stop_second,33,-3968,-3.11645991,-3,0.000,-480.000,190000,0,0,1,0,1,
1.008731,10536001,1,3,0.061352,1,stop_second,29,-3972,-3.11960151,-4,0.000,0.000,190000,0,0,1,0,1,
1.039180,10570997,1,3,0.091802,1,stop_second,21,-3980,-3.12588469,-4,0.000,0.000,190000,0,0,1,0,1,
1.069718,10600997,1,3,0.122340,1,stop_second,13,-3988,-3.13216788,-4,0.000,0.000,190000,0,0,1,0,1,
1.100114,10630997,1,3,0.152735,1,stop_second,5,-3996,-3.13845106,-4,0.000,0.000,190000,0,0,1,0,1,
1.130662,10660997,1,3,0.183283,1,stop_second,-3,3996,3.13845106,-4,0.000,0.000,190000,0,0,1,0,1,
1.161179,10690997,1,3,0.213801,1,stop_second,-11,3988,3.13216788,-4,0.000,0.000,190000,0,0,1,0,1,
1.192961,10720997,1,3,0.245582,1,stop_second,-18,3981,3.12667009,-4,0.000,0.000,190000,0,0,1,0,1,
1.223150,10750997,1,3,0.275772,1,stop_second,-25,3974,3.12117230,-4,0.000,0.000,190000,0,0,1,0,1,
1.253937,10780997,1,3,0.306559,1,stop_second,-32,3967,3.11567451,-4,0.000,0.000,190000,0,0,1,0,1,
1.284190,10816001,1,3,0.336811,1,stop_second,-38,3961,3.11096213,-4,0.000,0.000,190000,0,0,1,0,1,
1.314965,10846001,1,3,0.367587,1,stop_second,-42,3957,3.10782053,-4,0.000,0.000,190000,0,0,1,0,1,
1.346068,10876001,1,3,0.398690,1,stop_second,-46,3953,3.10467894,-4,0.000,0.000,190000,0,0,1,0,1,
1.376421,10906001,1,3,0.429043,1,stop_second,-48,3951,3.10310814,-4,0.000,0.000,190000,0,0,1,0,1,
1.406900,10936001,1,3,0.459521,1,stop_second,-48,3951,3.10310814,-4,0.000,0.000,190000,0,0,1,0,1,
1.437450,10966001,1,3,0.490071,1,stop_second,-48,3951,3.10310814,-4,0.000,0.000,190000,0,0,1,0,1,
1.467699,10996001,1,4,0.000000,2,move_first,-46,3953,3.10467894,-4,2000.000,0.000,190000,0,0,1,0,1,
1.498318,11026001,1,4,0.030619,2,move_first,-43,3956,3.10703513,-4,2000.000,0.000,190000,0,0,1,0,1,
1.528827,11056997,1,4,0.061128,2,move_first,-42,3957,3.10782053,37,2000.000,2000.000,190000,0,0,1,0,1,
1.559655,11086997,1,4,0.091956,2,move_first,-42,3957,3.10782053,97,2000.000,2000.000,190000,0,0,1,0,1,
1.589857,11122001,1,4,0.122158,2,move_first,-41,3958,3.10860593,167,2000.000,2000.000,190000,0,0,1,0,1,
1.620504,11152001,1,4,0.152805,2,move_first,-39,3960,3.11017673,227,2000.000,2000.000,190000,0,0,1,0,1,
1.651051,11182001,1,4,0.183352,2,move_first,-36,3963,3.11253292,287,2000.000,2000.000,190000,0,0,1,0,1,
1.681574,11212001,1,5,0.000000,2,stop_first,-33,3966,3.11488912,347,0.000,2000.000,190000,0,0,1,0,1,
1.712031,11245079,1,5,0.030457,2,stop_first,-28,3971,3.11881611,407,0.000,480.000,190000,0,0,1,0,1,
1.742639,11270001,1,5,0.061064,2,stop_first,-20,3979,3.12509929,408,0.000,0.000,190000,0,0,1,0,1,
1.773232,11304997,1,5,0.091658,2,stop_first,-7,3992,3.13530947,408,0.000,0.000,190000,0,0,1,0,1,
1.803849,11334997,1,5,0.122275,2,stop_first,4,-3997,-3.13923646,408,0.000,0.000,190000,0,0,1,0,1,
1.834276,11364997,1,5,0.152701,2,stop_first,14,-3987,-3.13138248,408,0.000,0.000,190000,0,0,1,0,1,
1.864776,11394997,1,5,0.183202,2,stop_first,25,-3976,-3.12274310,408,0.000,0.000,190000,0,0,1,0,1,
1.895263,11424997,1,5,0.213689,2,stop_first,34,-3967,-3.11567451,408,0.000,0.000,190000,0,0,1,0,1,
1.925545,11454997,1,5,0.243971,2,stop_first,43,-3958,-3.10860593,408,0.000,0.000,190000,0,0,1,0,1,
1.956486,11484997,1,5,0.274911,2,stop_first,51,-3950,-3.10232275,408,0.000,0.000,190000,0,0,1,0,1,
1.986840,11514997,1,5,0.305266,2,stop_first,57,-3944,-3.09761036,408,0.000,0.000,190000,0,0,1,0,1,
2.017206,11544997,1,5,0.335632,2,stop_first,61,-3940,-3.09446876,408,0.000,0.000,190000,0,0,1,0,1,
2.047575,11574997,1,5,0.366001,2,stop_first,65,-3936,-3.09132717,408,0.000,0.000,190000,0,0,1,0,1,
2.078247,11610001,1,5,0.396673,2,stop_first,66,-3935,-3.09054177,408,0.000,0.000,190000,0,0,1,0,1,
2.108741,11640001,1,5,0.427167,2,stop_first,66,-3935,-3.09054177,408,0.000,0.000,190000,0,0,1,0,1,
2.138964,11670001,1,5,0.457390,2,stop_first,64,-3937,-3.09211257,408,0.000,0.000,190000,0,0,1,0,1,
2.169398,11700001,1,5,0.487824,2,stop_first,60,-3941,-3.09525416,408,0.000,0.000,190000,0,0,1,0,1,
2.200173,11730001,1,6,0.000000,2,move_second,55,-3946,-3.09918115,408,-2000.000,0.000,190000,0,0,1,0,1,
2.230361,11764088,1,6,0.030189,2,move_second,48,-3953,-3.10467894,408,-2000.000,-380.950,190000,0,0,1,0,1,
2.261166,11788997,1,6,0.060993,2,move_second,44,-3957,-3.10782053,367,-2000.000,-2000.000,190000,0,0,1,0,1,
2.291710,11818997,1,6,0.091538,2,move_second,40,-3961,-3.11096213,307,-2000.000,-2000.000,190000,0,0,1,0,1,
2.321904,11854001,1,6,0.121731,2,move_second,35,-3966,-3.11488912,237,-2000.000,-2000.000,190000,0,0,1,0,1,
2.352400,11884001,1,6,0.152227,2,move_second,30,-3971,-3.11881611,177,-2000.000,-2000.000,190000,0,0,1,0,1,
2.383176,11914001,1,6,0.183004,2,move_second,24,-3977,-3.12352850,117,-2000.000,-2000.000,190000,0,0,1,0,1,
2.413422,11944001,1,7,0.000000,2,stop_second,17,-3984,-3.12902628,57,0.000,-2000.000,190000,0,0,1,0,1,
2.444958,11977079,1,7,0.031536,2,stop_second,10,-3991,-3.13452407,-3,0.000,-480.000,190000,0,0,1,0,1,
2.475676,12006997,1,7,0.062254,2,stop_second,-2,3997,3.13923646,-4,0.000,0.000,190000,0,0,1,0,1,
2.506096,12036997,1,7,0.092674,2,stop_second,-14,3985,3.12981168,-4,0.000,0.000,190000,0,0,1,0,1,
2.536581,12066997,1,7,0.123159,2,stop_second,-26,3973,3.12038690,-4,0.000,0.000,190000,0,0,1,0,1,
2.567096,12096997,1,7,0.153674,2,stop_second,-37,3962,3.11174752,-4,0.000,0.000,190000,0,0,1,0,1,
2.597585,12126997,1,7,0.184163,2,stop_second,-48,3951,3.10310814,-4,0.000,0.000,190000,0,0,1,0,1,
2.628388,12156997,1,7,0.214966,2,stop_second,-57,3942,3.09603956,-4,0.000,0.000,190000,0,0,1,0,1,
2.658984,12186997,1,7,0.245563,2,stop_second,-64,3935,3.09054177,-4,0.000,0.000,190000,0,0,1,0,1,
2.690490,12216997,1,7,0.277068,2,stop_second,-70,3929,3.08582938,-4,0.000,0.000,190000,0,0,1,0,1,
2.720956,12252001,1,7,0.307534,2,stop_second,-75,3924,3.08190239,-4,0.000,0.000,190000,0,0,1,0,1,
2.751485,12282001,1,7,0.338063,2,stop_second,-76,3923,3.08111700,-4,0.000,0.000,190000,0,0,1,0,1,
2.781951,12312001,1,7,0.368529,2,stop_second,-77,3922,3.08033160,-4,0.000,0.000,190000,0,0,1,0,1,
2.812490,12342001,1,7,0.399068,2,stop_second,-75,3924,3.08190239,-4,0.000,0.000,190000,0,0,1,0,1,
2.842755,12372001,1,7,0.429333,2,stop_second,-71,3928,3.08504399,-4,0.000,0.000,190000,0,0,1,0,1,
2.873447,12402001,1,7,0.460025,2,stop_second,-66,3933,3.08897098,-4,0.000,0.000,190000,0,0,1,0,1,
2.903766,12432001,1,7,0.490344,2,stop_second,-59,3940,3.09446876,-4,0.000,0.000,190000,0,0,1,0,1,
2.934485,12462001,1,8,0.000000,3,move_first,-50,3949,3.10153735,-4,2000.000,0.000,190000,0,0,1,0,1,
2.965027,12492001,1,8,0.030542,3,move_first,-41,3958,3.10860593,-4,2000.000,0.000,190000,0,0,1,0,1,
2.995346,12522997,1,8,0.060861,3,move_first,-32,3967,3.11567451,38,2000.000,2000.000,190000,0,0,1,0,1,
3.025865,12552997,1,8,0.091379,3,move_first,-25,3974,3.12117230,98,2000.000,2000.000,190000,0,0,1,0,1,
3.056324,12588001,1,8,0.121839,3,move_first,-18,3981,3.12667009,168,2000.000,2000.000,190000,0,0,1,0,1,
3.087047,12618001,1,8,0.152561,3,move_first,-11,3988,3.13216788,228,2000.000,2000.000,190000,0,0,1,0,1,
3.117565,12648001,1,8,0.183080,3,move_first,-3,3996,3.13845106,288,2000.000,2000.000,190000,0,0,1,0,1,
3.148024,12678001,1,9,0.000000,3,stop_first,4,-3997,-3.13923646,348,0.000,2000.000,190000,0,0,1,0,1,
3.178478,12712087,1,9,0.030454,3,stop_first,12,-3989,-3.13295327,408,0.000,99.050,190000,0,0,1,0,1,
