pc_t_s,esp_ts_us,trial_idx,segment_idx,segment_t_s,cycle_idx,phase,encoder_count,theta_counts,theta_rad,position_steps,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,stop_reason
0.031011,18892246,1,0,0.031011,1,move_first,-45,3954,3.10546434,618,6000.000,0.000,190000,0,0,1,0,1,
0.061656,18917001,1,0,0.061656,1,move_first,-32,3967,3.11567451,672,6000.000,4558.860,190000,0,0,1,0,1,
0.092117,18954080,1,0,0.092117,1,move_first,-16,3983,3.12824088,889,6000.000,6000.000,190000,0,0,1,0,1,
0.122626,18978997,1,0,0.122626,1,move_first,-15,3984,3.12902628,1039,6000.000,6000.000,190000,0,0,1,0,1,
0.153148,19008997,1,0,0.153148,1,move_first,-15,3984,3.12902628,1219,6000.000,6000.000,190000,0,0,1,0,1,
0.183790,19040001,1,0,0.183790,1,move_first,-14,3985,3.12981168,1405,6000.000,6000.000,190000,0,0,1,0,1,
0.214300,19070001,1,0,0.214300,1,move_first,-13,3986,3.13059708,1585,6000.000,6000.000,190000,0,0,1,0,1,
0.244800,19100997,1,0,0.244800,1,move_first,-11,3988,3.13216788,1771,6000.000,6000.000,190000,0,0,1,0,1,
0.275312,19130997,1,0,0.275312,1,move_first,-10,3989,3.13295327,1951,6000.000,6000.000,190000,0,0,1,0,1,
0.305783,19162001,1,0,0.305783,1,move_first,-8,3991,3.13452407,2137,6000.000,6000.000,190000,0,0,1,0,1,
0.336355,19192001,1,0,0.336355,1,move_first,-6,3993,3.13609487,2317,6000.000,6000.000,190000,0,0,1,0,1,
0.366942,19222997,1,0,0.366942,1,move_first,-4,3995,3.13766566,2503,6000.000,6000.000,190000,0,0,1,0,1,
0.397436,19252997,1,0,0.397436,1,move_first,-2,3997,3.13923646,2682,6000.000,6000.000,190000,0,0,1,0,1,
0.427977,19284001,1,0,0.427977,1,move_first,0,3999,3.14080726,2868,6000.000,6000.000,190000,0,0,1,0,1,
0.460537,19314001,1,0,0.460537,1,move_first,3,-3998,-3.14002186,3048,6000.000,6000.000,190000,0,0,1,0,1,
0.490980,19350001,1,0,0.490980,1,move_first,5,-3996,-3.13845106,3264,6000.000,6000.000,190000,0,0,1,0,1,
0.521542,19383074,1,0,0.521542,1,move_first,7,-3994,-3.13688026,3463,6000.000,6000.000,190000,0,0,1,0,1,
