pc_t_s,esp_ts_us,trial_idx,segment_idx,segment_t_s,cycle_idx,phase,encoder_count,theta_counts,theta_rad,position_steps,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,stop_reason
0.029923,3646998,1,0,0.029923,1,move_first,-20,3979,3.12509929,0,18000.000,0.000,200000,0,0,1,0,1,
0.060611,3678998,1,0,0.060611,1,move_first,-13,3986,3.13059708,54,18000.000,4559.050,190000,0,0,1,0,1,
0.090916,3708998,1,0,0.090916,1,move_first,-14,3985,3.12981168,276,18000.000,10259.050,190000,0,0,1,0,1,
0.121487,3738998,1,0,0.121487,1,move_first,-38,3961,3.11096213,669,18000.000,15959.050,190000,0,0,1,0,1,
0.152229,3768998,1,0,0.152229,1,move_first,-81,3918,3.07719000,1198,18000.000,18000.000,190000,0,0,1,0,1,
0.182637,3800001,1,0,0.182637,1,move_first,-129,3870,3.03949089,1755,18000.000,18000.000,190000,0,0,1,0,1,
0.213030,3830001,1,1,0.000000,1,stop_first,-172,3827,3.00571877,2295,0.000,18000.000,190000,0,0,1,0,1,
0.243699,3860998,1,1,0.030670,1,stop_first,-216,3783,2.97116125,2852,0.000,18000.000,190000,0,0,1,0,1,
0.274226,3892001,1,1,0.061196,1,stop_first,-253,3746,2.94210152,3351,0.000,13439.998,190000,0,0,1,0,1,
0.305614,3922001,1,1,0.092584,1,stop_first,-270,3729,2.92874975,3663,0.000,7739.998,190000,0,0,1,0,1,
0.335958,3958001,1,1,0.122928,1,stop_first,-265,3734,2.93267674,3812,0.000,899.998,190000,0,0,1,0,1,
0.366684,3990080,1,1,0.153654,1,stop_first,-242,3757,2.95074090,3814,0.000,0.000,190000,0,0,1,0,1,
0.396912,4014998,1,1,0.183882,1,stop_first,-219,3780,2.96880506,3814,0.000,0.000,190000,0,0,1,0,1,
0.427426,4044998,1,2,0.000000,1,move_second,-189,3810,2.99236700,3814,-18000.000,0.000,190000,0,0,1,0,1,
0.457930,4076001,1,2,0.030503,1,move_second,-154,3845,3.01985594,3814,-18000.000,0.000,190000,0,0,1,0,1,
0.488591,4106001,1,2,0.061165,1,move_second,-116,3883,3.04970107,3755,-18000.000,-4560.000,190000,0,0,1,0,1,
