pc_t_s,esp_ts_us,dt_s,encoder_count,theta_counts,theta_rad,theta_dot_rad_s,position_steps,cart_vel_steps_s,command_speed_hz,applied_speed_hz,applied_acc,limit,fault,enabled,soft_limit,start,mode,stop_reason
0.000086,10857001,0.000000,3996,-5,-0.00392699,0.00000000,0,0.000,1178.097,0.000,190000,0,0,0,0,1,balance,
0.000349,10863427,0.006426,3996,-5,-0.00392699,0.00000000,0,0.000,1178.097,0.000,190000,0,0,1,0,1,balance,
0.000475,10868001,0.004574,3996,-5,-0.00392699,0.00000000,0,0.000,1178.097,0.000,190000,0,0,1,0,1,balance,
0.000673,10872998,0.004997,3996,-5,-0.00392699,0.00000000,0,0.000,1178.097,0.000,190000,0,0,1,0,1,balance,
0.000851,10878001,0.005003,3995,-6,-0.00471239,-0.02354782,0,0.000,1555.004,0.000,190000,0,0,1,0,1,balance,
0.001039,10882998,0.004997,3995,-6,-0.00471239,-0.02001564,0,0.000,1533.811,0.000,190000,0,0,1,0,1,balance,
0.030468,10888001,0.005003,3995,-6,-0.00471239,-0.01701330,0,0.000,1515.796,0.000,190000,0,0,1,0,1,balance,
0.030676,10895522,0.007521,3995,-6,-0.00471239,-0.01446130,0,0.000,1500.485,0.000,190000,0,0,1,0,1,balance,
0.030814,10900001,0.004479,3995,-6,-0.00471239,-0.01229211,2,446.528,1487.469,760.000,190000,0,0,1,0,1,balance,
0.030979,10904998,0.004997,3994,-7,-0.00549779,-0.03402438,9,1400.841,1853.482,1533.811,190000,0,0,1,0,1,balance,
0.031178,10910001,0.005003,3994,-7,-0.00549779,-0.02892072,16,1399.161,1822.860,1533.811,190000,0,0,1,0,1,balance,
0.031374,10914998,0.004997,3994,-7,-0.00549779,-0.02458262,24,1600.961,1796.832,1533.811,190000,0,0,1,0,1,balance,
0.060962,10920001,0.005003,3994,-7,-0.00549779,-0.02089522,32,1599.041,1774.707,1533.811,190000,0,0,1,0,1,balance,
0.061096,10926458,0.006457,3993,-8,-0.00628319,-0.03600621,42,1548.707,2100.993,1515.797,190000,0,0,1,0,1,balance,
0.061286,10930998,0.004540,3993,-8,-0.00628319,-0.03060528,49,1541.850,2068.587,1796.832,190000,0,0,1,0,1,balance,
0.061479,10936001,0.005003,3993,-8,-0.00628319,-0.02601449,58,1798.921,2041.043,1796.832,190000,0,0,1,0,1,balance,
0.061666,10940998,0.004997,3993,-8,-0.00628319,-0.02211232,67,1801.081,2017.629,1796.832,190000,0,0,1,0,1,balance,
0.061858,10946001,0.005003,3992,-9,-0.00706858,-0.04234328,76,1798.921,2374.635,1796.832,190000,0,0,1,0,1,balance,
0.091632,10950998,0.004997,3992,-9,-0.00706858,-0.03599179,85,1801.081,2336.526,1796.832,190000,0,0,1,0,1,balance,
0.091773,10956460,0.005462,3992,-9,-0.00706858,-0.03059302,95,1830.831,2304.133,1774.708,190000,0,0,1,0,1,balance,
0.091966,10960998,0.004538,3992,-9,-0.00706858,-0.02600407,104,1983.253,2276.599,2374.635,190000,0,0,1,0,1,balance,
0.092148,10966001,0.005003,3991,-10,-0.00785398,-0.04565128,116,2398.561,2630.102,2374.635,190000,0,0,1,0,1,balance,
0.092346,10970998,0.004997,3992,-9,-0.00706858,-0.01522749,128,2401.441,2211.940,2374.635,190000,0,0,1,0,1,balance,
0.092605,10976001,0.005003,3993,-8,-0.00628319,0.01060445,140,2398.561,1821.329,2374.635,190000,0,0,1,0,1,balance,
0.121884,10980998,0.004997,3994,-7,-0.00549779,0.03258987,152,2401.441,1453.797,2374.635,190000,0,0,1,0,1,balance,
0.122000,10987450,0.006452,3995,-6,-0.00471239,0.04596080,167,2324.861,1137.952,2374.635,190000,0,0,1,0,1,balance,
0.122187,10992001,0.004551,3996,-5,-0.00392699,0.06495324,176,1977.587,788.378,1821.329,190000,0,0,1,0,1,balance,
0.122375,10996998,0.004997,3996,-5,-0.00392699,0.05521025,185,1801.081,846.836,1821.329,190000,0,0,1,0,1,balance,
0.122603,11002001,0.005003,3997,-4,-0.00314159,0.07047653,194,1798.921,519.619,1821.329,190000,0,0,1,0,1,balance,
0.122804,11006998,0.004997,3997,-4,-0.00314159,0.05990505,203,1801.081,583.047,1821.329,190000,0,0,1,0,1,balance,
0.152447,11012001,0.005003,3998,-3,-0.00235619,0.07446711,213,1998.801,260.056,1821.329,190000,0,0,1,0,1,balance,
0.152710,11017449,0.005448,3998,-3,-0.00235619,0.06329704,222,1651.982,327.076,1821.329,190000,0,0,1,0,1,balance,
0.152838,11022001,0.004552,3998,-3,-0.00235619,0.05380249,229,1537.786,384.043,1061.329,190000,0,0,1,0,1,balance,
0.153019,11026998,0.004997,3999,-2,-0.00157080,0.06930820,232,600.360,55.390,583.047,190000,0,0,1,0,1,balance,
